ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
60678100,53.366,0.000,59.210,0.000,z3core.py:1382(Check)
100,38.051,0.381,38.053,0.381,z3core.py:2946(Z3_simplify)
18720000,28.739,0.000,50.778,0.000,z3core.py:2506(Z3_sort_to_ast)
11960200,18.044,0.000,31.528,0.000,z3core.py:1424(Z3_inc_ref)
11960200,17.968,0.000,31.327,0.000,z3core.py:1428(Z3_dec_ref)
11960200,16.501,0.000,77.429,0.000,z3.py:312(__del__)
11960200,16.421,0.000,77.909,0.000,z3.py:307(__init__)
121356200,12.213,0.000,12.213,0.000,z3types.py:19(from_param)
18720000,11.562,0.000,70.082,0.000,z3.py:513(as_ast)
6719800,10.869,0.000,18.807,0.000,z3core.py:2746(Z3_get_sort)
30476200,9.696,0.000,13.182,0.000,z3.py:362(ctx_ref)
1665300,9.144,0.000,13.477,0.000,z3core.py:2136(Z3_mk_numeral)
70960100,8.203,0.000,8.203,0.000,z3.py:196(ref)
4973400,6.837,0.000,63.184,0.000,z3.py:3258(sort)
3316300,5.829,0.000,149.746,0.000,z3.py:1106(_coerce_exprs)
6634300,5.413,0.000,36.840,0.000,z3.py:3228(cast)
2534200,5.100,0.000,33.705,0.000,z3.py:366(eq)
36634300,4.855,0.000,4.855,0.000,{built-in method builtins.isinstance}
6642100,4.583,0.000,92.534,0.000,z3.py:1088(_coerce_expr_merge)
829700,4.519,0.000,118.090,0.000,z3.py:1268(If)
100,4.380,0.044,302.722,3.027,utils.py:4(clz)
2534200,4.287,0.000,7.289,0.000,z3core.py:2731(Z3_is_eq_ast)
17488800,4.161,0.000,6.375,0.000,z3.py:1135(is_expr)
44043700,3.857,0.000,3.857,0.000,z3types.py:39(from_param)
1665300,3.194,0.000,28.431,0.000,z3.py:3777(BitVecVal)
23425700,2.885,0.000,2.885,0.000,z3.py:903(as_ast)
829700,2.517,0.000,3.713,0.000,z3core.py:1681(Z3_mk_ite)
824900,2.435,0.000,47.482,0.000,z3.py:4036(LShR)
832800,2.294,0.000,46.445,0.000,z3.py:932(__eq__)
851200,2.228,0.000,13.328,0.000,z3.py:1041(_to_expr_ref)
825500,2.214,0.000,61.016,0.000,z3.py:3280(__add__)
825500,2.182,0.000,3.300,0.000,z3core.py:1841(Z3_mk_bvadd)
824900,2.122,0.000,3.218,0.000,z3core.py:1951(Z3_mk_bvlshr)
832800,2.118,0.000,3.233,0.000,z3core.py:1666(Z3_mk_eq)
13771300,2.030,0.000,2.039,0.000,z3.py:231(_get_ctx)
1665300,2.014,0.000,2.904,0.000,z3.py:2960(_to_int_str)
21587300,1.954,0.000,1.954,0.000,z3types.py:31(from_param)
835500,1.873,0.000,3.115,0.000,z3.py:455(_ctx_from_ast_arg_list)
840700,1.726,0.000,30.815,0.000,z3.py:1392(cast)
11354000,1.571,0.000,1.571,0.000,z3.py:94(_z3_assert)
852800,1.442,0.000,2.424,0.000,z3core.py:2761(Z3_get_ast_kind)
831200,1.327,0.000,2.339,0.000,z3core.py:1541(Z3_mk_bool_sort)
917100,1.320,0.000,2.297,0.000,z3core.py:2516(Z3_get_sort_kind)
12058400,1.290,0.000,1.290,0.000,z3.py:56(z3_debug)
5035900,1.218,0.000,1.828,0.000,z3.py:412(is_ast)
850200,1.185,0.000,10.905,0.000,z3.py:1426(sort)
831200,1.156,0.000,10.428,0.000,z3.py:1553(BoolSort)
1737900,0.953,0.000,1.737,0.000,z3core.py:69(_str_to_bytes)
826300,0.722,0.000,1.296,0.000,z3.py:3904(_check_bv_args)
1737900,0.639,0.000,0.639,0.000,{method 'encode' of 'str' objects}
12100,0.455,0.000,4.789,0.000,z3.py:4805(CreateDatatypes)
1739400,0.400,0.000,0.551,0.000,z3.py:64(_is_int)
232600,0.374,0.000,0.656,0.000,z3core.py:2616(Z3_func_decl_to_ast)
1665300,0.371,0.000,0.525,0.000,z3.py:3245(is_bv_sort)
147500,0.252,0.000,0.427,0.000,z3core.py:2646(Z3_get_arity)
840000,0.243,0.000,0.380,0.000,z3.py:3706(is_bv)
128200,0.243,0.000,0.397,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
21100,0.210,0.000,3.348,0.000,z3.py:755(__call__)
72600,0.196,0.000,0.364,0.000,z3core.py:1531(Z3_mk_string_symbol)
12100,0.177,0.000,0.199,0.000,z3core.py:1614(Z3_mk_datatypes)
65900,0.163,0.000,0.246,0.000,z3core.py:2651(Z3_get_domain)
67700,0.163,0.000,0.248,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
232600,0.155,0.000,0.907,0.000,z3.py:668(as_ast)
67700,0.153,0.000,1.302,0.000,z3.py:4912(constructor)
36300,0.148,0.000,1.940,0.000,z3.py:4959(accessor)
69600,0.146,0.000,0.314,0.000,z3core.py:2486(Z3_get_symbol_string)
65900,0.132,0.000,1.645,0.000,z3.py:697(domain)
