ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
3936100,3.385,0.000,3.739,0.000,z3core.py:1382(Check)
886800,1.356,0.000,2.369,0.000,z3core.py:2506(Z3_sort_to_ast)
611800,0.877,0.000,4.309,0.000,z3.py:307(__init__)
611800,0.869,0.000,1.518,0.000,z3core.py:1424(Z3_inc_ref)
611800,0.861,0.000,4.197,0.000,z3.py:312(__del__)
611800,0.845,0.000,1.487,0.000,z3core.py:1428(Z3_dec_ref)
7872200,0.726,0.000,0.726,0.000,z3types.py:19(from_param)
2105200,0.658,0.000,0.901,0.000,z3.py:362(ctx_ref)
886800,0.560,0.000,3.292,0.000,z3.py:513(as_ast)
4490900,0.526,0.000,0.526,0.000,z3.py:196(ref)
12100,0.425,0.000,4.612,0.000,z3.py:4805(CreateDatatypes)
235000,0.383,0.000,0.659,0.000,z3core.py:2746(Z3_get_sort)
232600,0.364,0.000,0.631,0.000,z3core.py:2616(Z3_func_decl_to_ast)
147500,0.250,0.000,0.418,0.000,z3core.py:2646(Z3_get_arity)
128200,0.243,0.000,0.392,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
1778500,0.232,0.000,0.232,0.000,{built-in method builtins.isinstance}
102400,0.209,0.000,1.355,0.000,z3.py:366(eq)
44100,0.206,0.000,0.324,0.000,z3core.py:2136(Z3_mk_numeral)
21100,0.197,0.000,3.268,0.000,z3.py:755(__call__)
102400,0.179,0.000,0.297,0.000,z3core.py:2731(Z3_is_eq_ast)
72600,0.174,0.000,0.337,0.000,z3core.py:1531(Z3_mk_string_symbol)
67700,0.166,0.000,0.247,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
1892500,0.163,0.000,0.163,0.000,z3types.py:39(from_param)
12100,0.162,0.000,0.184,0.000,z3core.py:1614(Z3_mk_datatypes)
106500,0.157,0.000,0.272,0.000,z3core.py:2516(Z3_get_sort_kind)
65900,0.151,0.000,0.230,0.000,z3core.py:2651(Z3_get_domain)
232600,0.150,0.000,0.873,0.000,z3.py:668(as_ast)
67700,0.149,0.000,1.259,0.000,z3.py:4912(constructor)
109800,0.147,0.000,1.358,0.000,z3.py:3258(sort)
69600,0.144,0.000,0.306,0.000,z3core.py:2486(Z3_get_symbol_string)
36300,0.142,0.000,1.875,0.000,z3.py:4959(accessor)
73900,0.134,0.000,3.587,0.000,z3.py:1106(_coerce_exprs)
65900,0.133,0.000,1.598,0.000,z3.py:697(domain)
801700,0.129,0.000,0.139,0.000,z3.py:231(_get_ctx)
36300,0.127,0.000,0.176,0.000,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
149500,0.125,0.000,0.724,0.000,z3.py:3228(cast)
1322300,0.122,0.000,0.122,0.000,z3types.py:31(from_param)
65900,0.122,0.000,0.911,0.000,z3.py:608(_to_sort_ref)
147500,0.118,0.000,0.603,0.000,z3.py:688(arity)
69600,0.115,0.000,0.195,0.000,z3core.py:2631(Z3_get_decl_name)
157300,0.112,0.000,2.335,0.000,z3.py:1088(_coerce_expr_merge)
466200,0.109,0.000,0.171,0.000,z3.py:1135(is_expr)
40600,0.109,0.000,0.631,0.000,z3.py:1041(_to_expr_ref)
816200,0.108,0.000,0.108,0.000,z3.py:94(_z3_assert)
128200,0.106,0.000,0.559,0.000,z3.py:4899(num_constructors)
19100,0.104,0.000,2.743,0.000,z3.py:1268(If)
48000,0.102,0.000,0.156,0.000,z3core.py:1556(Z3_mk_bv_sort)
44100,0.102,0.000,0.972,0.000,z3.py:3777(BitVecVal)
69600,0.100,0.000,0.174,0.000,z3core.py:2476(Z3_get_symbol_kind)
69600,0.090,0.000,0.588,0.000,z3.py:116(_symbol2py)
72600,0.086,0.000,0.474,0.000,z3.py:109(to_symbol)
728900,0.084,0.000,0.084,0.000,z3.py:903(as_ast)
21100,0.081,0.000,0.110,0.000,z3core.py:1627(Z3_mk_app)
710000,0.079,0.000,0.079,0.000,z3.py:56(z3_debug)
69600,0.078,0.000,0.892,0.000,z3.py:677(name)
42200,0.074,0.000,0.122,0.000,z3core.py:2761(Z3_get_ast_kind)
42400,0.073,0.000,0.123,0.000,z3core.py:2636(Z3_get_decl_kind)
100,0.072,0.001,4.954,0.050,utils.py:4(clz)
48000,0.066,0.000,0.621,0.000,z3.py:3763(BitVecSort)
45000,0.066,0.000,0.578,0.000,z3.py:4990(sort)
116700,0.065,0.000,0.119,0.000,z3core.py:69(_str_to_bytes)
12100,0.063,0.000,0.082,0.000,z3core.py:1591(Z3_mk_constructor)
40600,0.062,0.000,0.107,0.000,z3core.py:2521(Z3_get_bv_sort_size)
69900,0.061,0.000,0.085,0.000,z3core.py:83(_to_pystr)
25600,0.060,0.000,0.957,0.000,z3.py:543(cast)
30100,0.060,0.000,1.079,0.000,z3.py:1392(cast)
19300,0.060,0.000,1.774,0.000,sorts.py:21(sizes)
22200,0.059,0.000,1.470,0.000,z3.py:932(__eq__)
22200,0.057,0.000,0.085,0.000,z3core.py:1666(Z3_mk_eq)
19100,0.056,0.000,0.083,0.000,z3core.py:1681(Z3_mk_ite)
39600,0.055,0.000,0.502,0.000,z3.py:1426(sort)
579100,0.055,0.000,0.055,0.000,z3types.py:35(from_param)
