ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
10299100,9.122,0.000,10.090,0.000,z3core.py:1382(Check)
2886600,4.444,0.000,7.853,0.000,z3core.py:2506(Z3_sort_to_ast)
1884400,2.850,0.000,4.974,0.000,z3core.py:1424(Z3_inc_ref)
1884400,2.755,0.000,4.848,0.000,z3core.py:1428(Z3_dec_ref)
1884400,2.604,0.000,12.420,0.000,z3.py:312(__del__)
1884400,2.599,0.000,12.643,0.000,z3.py:307(__init__)
20598200,2.024,0.000,2.024,0.000,z3types.py:19(from_param)
2886600,1.749,0.000,10.780,0.000,z3.py:513(as_ast)
5286700,1.663,0.000,2.272,0.000,z3.py:362(ctx_ref)
962200,1.563,0.000,2.694,0.000,z3core.py:2746(Z3_get_sort)
11944700,1.385,0.000,1.385,0.000,z3.py:196(ref)
225900,1.044,0.000,1.619,0.000,z3core.py:2136(Z3_mk_numeral)
655200,0.886,0.000,8.287,0.000,z3.py:3258(sort)
437500,0.751,0.000,19.670,0.000,z3.py:1106(_coerce_exprs)
5687200,0.751,0.000,0.751,0.000,{built-in method builtins.isinstance}
375100,0.743,0.000,4.957,0.000,z3.py:366(eq)
876700,0.713,0.000,4.556,0.000,z3.py:3228(cast)
375100,0.634,0.000,1.077,0.000,z3core.py:2731(Z3_is_eq_ast)
110000,0.598,0.000,15.591,0.000,z3.py:1268(If)
884500,0.586,0.000,12.392,0.000,z3.py:1088(_coerce_expr_merge)
6619300,0.570,0.000,0.570,0.000,z3types.py:39(from_param)
100,0.557,0.006,37.986,0.380,utils.py:4(clz)
2375100,0.547,0.000,0.846,0.000,z3.py:1135(is_expr)
225900,0.441,0.000,3.855,0.000,z3.py:3777(BitVecVal)
12100,0.433,0.000,4.695,0.000,z3.py:4805(CreateDatatypes)
3274100,0.399,0.000,0.399,0.000,z3.py:903(as_ast)
232600,0.371,0.000,0.651,0.000,z3core.py:2616(Z3_func_decl_to_ast)
100,0.349,0.003,0.350,0.003,z3core.py:2946(Z3_simplify)
131500,0.342,0.000,2.051,0.000,z3.py:1041(_to_expr_ref)
2256100,0.340,0.000,0.350,0.000,z3.py:231(_get_ctx)
3594800,0.327,0.000,0.327,0.000,z3types.py:31(from_param)
110000,0.323,0.000,0.480,0.000,z3core.py:1681(Z3_mk_ite)
105200,0.310,0.000,5.944,0.000,z3.py:4036(LShR)
113100,0.307,0.000,6.391,0.000,z3.py:932(__eq__)
197400,0.289,0.000,0.503,0.000,z3core.py:2516(Z3_get_sort_kind)
113100,0.282,0.000,0.432,0.000,z3core.py:1666(Z3_mk_eq)
105800,0.274,0.000,0.414,0.000,z3core.py:1841(Z3_mk_bvadd)
105800,0.271,0.000,7.728,0.000,z3.py:3280(__add__)
1997900,0.267,0.000,0.267,0.000,z3.py:94(_z3_assert)
105200,0.265,0.000,0.405,0.000,z3core.py:1951(Z3_mk_bvlshr)
225900,0.262,0.000,0.383,0.000,z3.py:2960(_to_int_str)
147500,0.250,0.000,0.424,0.000,z3core.py:2646(Z3_get_arity)
115800,0.249,0.000,0.416,0.000,z3.py:455(_ctx_from_ast_arg_list)
121000,0.243,0.000,4.405,0.000,z3.py:1392(cast)
128200,0.242,0.000,0.395,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
133100,0.227,0.000,0.380,0.000,z3core.py:2761(Z3_get_ast_kind)
1982600,0.211,0.000,0.211,0.000,z3.py:56(z3_debug)
21100,0.198,0.000,3.289,0.000,z3.py:755(__call__)
72600,0.182,0.000,0.349,0.000,z3core.py:1531(Z3_mk_string_symbol)
130500,0.179,0.000,1.671,0.000,z3.py:1426(sort)
111500,0.179,0.000,0.314,0.000,z3core.py:1541(Z3_mk_bool_sort)
717700,0.172,0.000,0.261,0.000,z3.py:412(is_ast)
12100,0.166,0.000,0.187,0.000,z3core.py:1614(Z3_mk_datatypes)
67700,0.160,0.000,0.246,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
298500,0.160,0.000,0.295,0.000,z3core.py:69(_str_to_bytes)
111500,0.153,0.000,1.392,0.000,z3.py:1553(BoolSort)
232600,0.152,0.000,0.897,0.000,z3.py:668(as_ast)
67700,0.151,0.000,1.284,0.000,z3.py:4912(constructor)
65900,0.147,0.000,0.230,0.000,z3core.py:2651(Z3_get_domain)
36300,0.145,0.000,1.914,0.000,z3.py:4959(accessor)
69600,0.144,0.000,0.310,0.000,z3core.py:2486(Z3_get_symbol_string)
65900,0.130,0.000,1.615,0.000,z3.py:697(domain)
36300,0.125,0.000,0.175,0.000,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
65900,0.120,0.000,0.927,0.000,z3.py:608(_to_sort_ref)
147500,0.117,0.000,0.610,0.000,z3.py:688(arity)
69600,0.114,0.000,0.196,0.000,z3core.py:2631(Z3_get_decl_name)
298500,0.109,0.000,0.109,0.000,{method 'encode' of 'str' objects}
128200,0.106,0.000,0.565,0.000,z3.py:4899(num_constructors)
48000,0.101,0.000,0.158,0.000,z3core.py:1556(Z3_mk_bv_sort)
69600,0.100,0.000,0.177,0.000,z3core.py:2476(Z3_get_symbol_kind)
106600,0.094,0.000,0.167,0.000,z3.py:3904(_check_bv_args)
72600,0.089,0.000,0.489,0.000,z3.py:109(to_symbol)
69600,0.088,0.000,0.592,0.000,z3.py:116(_symbol2py)
21100,0.078,0.000,0.108,0.000,z3core.py:1627(Z3_mk_app)
69600,0.076,0.000,0.896,0.000,z3.py:677(name)
42400,0.074,0.000,0.125,0.000,z3core.py:2636(Z3_get_decl_kind)
300000,0.071,0.000,0.101,0.000,z3.py:64(_is_int)
48000,0.068,0.000,0.638,0.000,z3.py:3763(BitVecSort)
45000,0.065,0.000,0.593,0.000,z3.py:4990(sort)
40600,0.063,0.000,0.108,0.000,z3core.py:2521(Z3_get_bv_sort_size)
12100,0.063,0.000,0.082,0.000,z3core.py:1591(Z3_mk_constructor)
19300,0.063,0.000,1.815,0.000,sorts.py:21(sizes)
25600,0.062,0.000,0.974,0.000,z3.py:543(cast)
69900,0.060,0.000,0.085,0.000,z3core.py:83(_to_pystr)
579100,0.056,0.000,0.056,0.000,z3types.py:35(from_param)
21200,0.052,0.000,0.888,0.000,z3printer.py:1236(obj_to_string)
12100,0.052,0.000,5.566,0.000,sorts.py:10(FloatSort)
225900,0.051,0.000,0.073,0.000,z3.py:3245(is_bv_sort)
11800,0.049,0.000,7.229,0.001,sorts.py:25(get_sort)
65900,0.044,0.000,0.231,0.000,z3.py:508(_sort_kind)
12100,0.043,0.000,0.061,0.000,z3core.py:2566(Z3_get_datatype_sort_recognizer)
4200,0.041,0.000,0.158,0.000,z3.py:3836(Concat)
41700,0.041,0.000,0.063,0.000,z3.py:126(_get_args)
12100,0.041,0.000,4.848,0.000,z3.py:4771(create)
36300,0.039,0.000,0.067,0.000,z3.py:4701(_valid_accessor)
21200,0.037,0.000,0.689,0.000,z3printer.py:1106(main)
60500,0.037,0.000,0.037,0.000,{built-in method builtins.setattr}
40600,0.035,0.000,0.162,0.000,z3.py:3216(size)
21200,0.035,0.000,0.405,0.000,z3printer.py:216(_op_name)
12100,0.035,0.000,0.129,0.000,z3.py:4741(declare_core)
243700,0.034,0.000,0.034,0.000,{built-in method builtins.len}
120300,0.034,0.000,0.052,0.000,z3.py:3706(is_bv)
12100,0.033,0.000,0.169,0.000,z3.py:4748(declare)
22100,0.032,0.000,0.068,0.000,z3printer.py:460(pp_string)
12100,0.032,0.000,0.047,0.000,z3core.py:1605(Z3_mk_constructor_list)
22200,0.030,0.000,0.048,0.000,z3printer.py:387(to_format)
12100,0.029,0.000,0.251,0.000,z3.py:4931(recognizer)
42400,0.028,0.000,0.174,0.000,z3.py:719(kind)
7800,0.028,0.000,0.039,0.000,z3core.py:1921(Z3_mk_concat)
12100,0.027,0.000,0.043,0.000,z3core.py:1610(Z3_del_constructor_list)
21200,0.026,0.000,0.125,0.000,z3printer.py:509(__call__)
69900,0.025,0.000,0.025,0.000,{method 'decode' of 'bytes' objects}
12100,0.023,0.000,0.038,0.000,z3core.py:1596(Z3_del_constructor)
93700,0.023,0.000,0.032,0.000,z3.py:596(is_sort)
3600,0.023,0.000,4.033,0.001,conversions.py:4(to_ieee_bv)
22500/21200,0.022,0.000,0.100,0.000,z3printer.py:493(pp)
21100,0.021,0.000,0.578,0.000,z3printer.py:1013(pp_decl)
2100,0.017,0.000,3.208,0.002,sorts.py:29(ensure_eq_sort)
21200,0.017,0.000,0.469,0.000,z3printer.py:539(pp_name)
163400,0.017,0.000,0.017,0.000,z3types.py:27(from_param)
