ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
4027,0.004,0.000,0.005,0.000,z3core.py:1382(Check)
100,0.004,0.000,0.004,0.000,z3core.py:2946(Z3_simplify)
1010,0.002,0.000,0.003,0.000,z3core.py:2506(Z3_sort_to_ast)
605,0.001,0.000,0.002,0.000,z3core.py:1428(Z3_dec_ref)
504,0.001,0.000,0.002,0.000,z3core.py:2746(Z3_get_sort)
605,0.001,0.000,0.002,0.000,z3core.py:1424(Z3_inc_ref)
605,0.001,0.000,0.005,0.000,z3.py:312(__del__)
605,0.001,0.000,0.005,0.000,z3.py:307(__init__)
101,0.001,0.000,0.014,0.000,z3.py:8691(_coerce_fp_expr_list)
100,0.001,0.000,0.007,0.000,{built-in method builtins.print}
8054,0.001,0.000,0.001,0.000,z3types.py:19(from_param)
404,0.001,0.000,0.007,0.000,z3.py:8821(sort)
1010,0.001,0.000,0.005,0.000,z3.py:513(as_ast)
1716,0.001,0.000,0.001,0.000,z3.py:362(ctx_ref)
101,0.001,0.000,0.001,0.000,z3core.py:4638(Z3_mk_fpa_mul)
101,0.001,0.000,0.017,0.000,z3.py:9460(_mk_fp_bin)
4432,0.001,0.000,0.001,0.000,z3.py:196(ref)
3518,0.001,0.000,0.001,0.000,{built-in method builtins.isinstance}
200,0.000,0.000,0.001,0.000,z3core.py:2761(Z3_get_ast_kind)
200,0.000,0.000,0.001,0.000,z3core.py:2771(Z3_is_numeral_ast)
100,0.000,0.000,0.002,0.000,z3.py:1041(_to_expr_ref)
100,0.000,0.000,0.002,0.000,z3printer.py:614(pp_fp_value)
100,0.000,0.000,0.004,0.000,z3printer.py:917(pp_app)
3119,0.000,0.000,0.000,0.000,z3types.py:39(from_param)
100,0.000,0.000,0.007,0.000,z3.py:8205(simplify)
100,0.000,0.000,0.006,0.000,z3printer.py:1236(obj_to_string)
101,0.000,0.000,0.002,0.000,z3.py:366(eq)
1709,0.000,0.000,0.000,0.000,z3.py:903(as_ast)
101,0.000,0.000,0.000,0.000,z3core.py:2511(Z3_is_eq_sort)
101,0.000,0.000,0.006,0.000,z3.py:1124(_coerce_expr_list)
202,0.000,0.000,0.005,0.000,z3.py:1088(_coerce_expr_merge)
202,0.000,0.000,0.000,0.000,z3.py:8736(cast)
101,0.000,0.000,0.000,0.000,z3core.py:2731(Z3_is_eq_ast)
705,0.000,0.000,0.000,0.000,z3.py:1135(is_expr)
100,0.000,0.000,0.000,0.000,z3core.py:4788(Z3_fpa_is_numeral_nan)
100,0.000,0.000,0.000,0.000,z3core.py:4798(Z3_fpa_is_numeral_zero)
100,0.000,0.000,0.000,0.000,z3core.py:4793(Z3_fpa_is_numeral_inf)
100,0.000,0.000,0.000,0.000,z3core.py:4818(Z3_fpa_is_numeral_negative)
100,0.000,0.000,0.000,0.000,z3printer.py:460(pp_string)
100,0.000,0.000,0.005,0.000,z3printer.py:1000(pp_expr)
100,0.000,0.000,0.000,0.000,z3core.py:2516(Z3_get_sort_kind)
706,0.000,0.000,0.000,0.000,z3.py:231(_get_ctx)
100,0.000,0.000,0.000,0.000,z3printer.py:387(to_format)
101,0.000,0.000,0.006,0.000,z3.py:1118(_reduce)
1312,0.000,0.000,0.000,0.000,z3types.py:31(from_param)
200,0.000,0.000,0.001,0.000,z3.py:2554(_is_numeral)
100,0.000,0.000,0.001,0.000,z3.py:450(_ast_kind)
403,0.000,0.000,0.000,0.000,z3.py:9179(is_fp)
100,0.000,0.000,0.005,0.000,z3printer.py:1106(main)
100,0.000,0.000,0.001,0.000,z3printer.py:509(__call__)
100,0.000,0.000,0.000,0.000,z3printer.py:493(pp)
100,0.000,0.000,0.000,0.000,z3.py:9141(isNaN)
100,0.000,0.000,0.000,0.000,z3.py:9145(isInf)
100,0.000,0.000,0.000,0.000,z3.py:9149(isZero)
101,0.000,0.000,0.000,0.000,z3.py:1133(<listcomp>)
100,0.000,0.000,0.000,0.000,z3.py:9165(isNegative)
100,0.000,0.000,0.001,0.000,z3.py:1157(is_app)
101,0.000,0.000,0.001,0.000,z3.py:568(__eq__)
605,0.000,0.000,0.000,0.000,z3.py:94(_z3_assert)
100,0.000,0.000,0.000,0.000,z3printer.py:410(_len)
401,0.000,0.000,0.000,0.000,{built-in method builtins.len}
101,0.000,0.000,0.017,0.000,z3.py:9520(fpMul)
300,0.000,0.000,0.000,0.000,z3.py:2498(is_arith)
100,0.000,0.000,0.001,0.000,z3.py:9192(is_fp_value)
100,0.000,0.000,0.005,0.000,z3printer.py:1132(__call__)
100,0.000,0.000,0.006,0.000,z3.py:320(__str__)
100,0.000,0.000,0.000,0.000,z3printer.py:373(__init__)
202,0.000,0.000,0.000,0.000,z3.py:64(_is_int)
504,0.000,0.000,0.000,0.000,z3.py:56(z3_debug)
201,0.000,0.000,0.000,0.000,z3.py:9043(is_fprm)
201,0.000,0.000,0.000,0.000,z3.py:412(is_ast)
100,0.000,0.000,0.000,0.000,{method 'getvalue' of '_io.StringIO' objects}
100,0.000,0.000,0.000,0.000,z3.py:2560(is_int_value)
100,0.000,0.000,0.000,0.000,z3.py:9055(is_fprm_value)
100,0.000,0.000,0.000,0.000,z3.py:7326(is_finite_domain_value)
100,0.000,0.000,0.000,0.000,z3.py:3719(is_bv_value)
100,0.000,0.000,0.000,0.000,z3.py:2583(is_rational_value)
100,0.000,0.000,0.000,0.000,z3.py:2604(is_algebraic_value)
100,0.000,0.000,0.000,0.000,{method 'write' of '_io.StringIO' objects}
202,0.000,0.000,0.000,0.000,{method 'append' of 'list' objects}
100,0.000,0.000,0.000,0.000,z3.py:7273(is_finite_domain)
100,0.000,0.000,0.000,0.000,z3.py:3706(is_bv)
100,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
101,0.000,0.000,0.000,0.000,z3.py:211(main_ctx)
100,0.000,0.000,0.000,0.000,z3printer.py:13(_z3_assert)
100,0.000,0.000,0.000,0.000,z3printer.py:376(is_string)
100,0.000,0.000,0.000,0.000,z3printer.py:142(u)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}


