ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2657900,2.404,0.000,2.658,0.000,z3core.py:1382(Check)
678800,1.065,0.000,1.877,0.000,z3core.py:2506(Z3_sort_to_ast)
446800,0.681,0.000,1.190,0.000,z3core.py:1424(Z3_inc_ref)
446800,0.655,0.000,1.160,0.000,z3core.py:1428(Z3_dec_ref)
446800,0.636,0.000,3.160,0.000,z3.py:307(__init__)
446800,0.626,0.000,3.088,0.000,z3.py:312(__del__)
5315800,0.529,0.000,0.529,0.000,z3types.py:19(from_param)
1400900,0.449,0.000,0.612,0.000,z3.py:362(ctx_ref)
678800,0.422,0.000,2.578,0.000,z3.py:513(as_ast)
3056500,0.357,0.000,0.357,0.000,z3.py:196(ref)
202200,0.333,0.000,0.575,0.000,z3core.py:2746(Z3_get_sort)
5700,0.204,0.000,2.246,0.000,z3.py:4805(CreateDatatypes)
42500,0.201,0.000,0.312,0.000,z3core.py:2136(Z3_mk_numeral)
110000,0.177,0.000,0.312,0.000,z3core.py:2616(Z3_func_decl_to_ast)
1306200,0.175,0.000,0.175,0.000,{built-in method builtins.isinstance}
85100,0.171,0.000,1.139,0.000,z3.py:366(eq)
115200,0.159,0.000,1.469,0.000,z3.py:3258(sort)
85100,0.146,0.000,0.249,0.000,z3core.py:2731(Z3_is_eq_ast)
77600,0.137,0.000,3.789,0.000,z3.py:1106(_coerce_exprs)
1484100,0.130,0.000,0.130,0.000,z3types.py:39(from_param)
152800,0.125,0.000,0.768,0.000,z3.py:3228(cast)
68300,0.118,0.000,0.200,0.000,z3core.py:2646(Z3_get_arity)
60500,0.117,0.000,0.191,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
20300,0.111,0.000,2.973,0.000,z3.py:1268(If)
159700,0.110,0.000,2.357,0.000,z3.py:1088(_coerce_expr_merge)
443600,0.104,0.000,0.161,0.000,z3.py:1135(is_expr)
42500,0.092,0.000,0.862,0.000,z3.py:3777(BitVecVal)
60500,0.092,0.000,0.161,0.000,z3core.py:2516(Z3_get_sort_kind)
9100,0.090,0.000,1.485,0.000,z3.py:755(__call__)
562700,0.089,0.000,0.094,0.000,z3.py:231(_get_ctx)
5700,0.087,0.000,0.097,0.000,z3core.py:1614(Z3_mk_datatypes)
34200,0.086,0.000,0.165,0.000,z3core.py:1531(Z3_mk_string_symbol)
917700,0.084,0.000,0.084,0.000,z3types.py:31(from_param)
100,0.084,0.001,5.895,0.059,utils.py:4(clz)
652500,0.080,0.000,0.080,0.000,z3.py:903(as_ast)
29800,0.079,0.000,0.477,0.000,z3.py:1041(_to_expr_ref)
32000,0.077,0.000,0.119,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
110000,0.074,0.000,0.431,0.000,z3.py:668(as_ast)
32000,0.073,0.000,0.619,0.000,z3.py:4912(constructor)
534300,0.071,0.000,0.071,0.000,z3.py:94(_z3_assert)
30700,0.070,0.000,0.110,0.000,z3core.py:2651(Z3_get_domain)
17100,0.069,0.000,0.914,0.000,z3.py:4959(accessor)
32000,0.068,0.000,0.146,0.000,z3core.py:2486(Z3_get_symbol_string)
30700,0.062,0.000,0.768,0.000,z3.py:697(domain)
20300,0.062,0.000,0.091,0.000,z3core.py:1681(Z3_mk_ite)
17100,0.060,0.000,0.084,0.000,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
21400,0.058,0.000,1.423,0.000,z3.py:932(__eq__)
30700,0.057,0.000,0.440,0.000,z3.py:608(_to_sort_ref)
68300,0.056,0.000,0.288,0.000,z3.py:688(arity)
31400,0.055,0.000,0.093,0.000,z3core.py:2761(Z3_get_ast_kind)
21400,0.055,0.000,0.084,0.000,z3core.py:1666(Z3_mk_eq)
24600,0.053,0.000,0.083,0.000,z3core.py:1556(Z3_mk_bv_sort)
32000,0.053,0.000,0.092,0.000,z3core.py:2631(Z3_get_decl_name)
