ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1775900,1.544,0.000,1.708,0.000,z3core.py:1382(Check)
401600,0.622,0.000,1.083,0.000,z3core.py:2506(Z3_sort_to_ast)
270400,0.394,0.000,1.956,0.000,z3.py:307(__init__)
270400,0.391,0.000,0.680,0.000,z3core.py:1424(Z3_inc_ref)
270400,0.386,0.000,1.902,0.000,z3.py:312(__del__)
270400,0.379,0.000,0.668,0.000,z3core.py:1428(Z3_dec_ref)
3551800,0.335,0.000,0.335,0.000,z3types.py:19(from_param)
959900,0.305,0.000,0.418,0.000,z3.py:362(ctx_ref)
401600,0.252,0.000,1.500,0.000,z3.py:513(as_ast)
2023300,0.241,0.000,0.241,0.000,z3.py:196(ref)
5700,0.204,0.000,2.221,0.000,z3.py:4805(CreateDatatypes)
110000,0.177,0.000,0.307,0.000,z3core.py:2616(Z3_func_decl_to_ast)
101400,0.166,0.000,0.285,0.000,z3core.py:2746(Z3_get_sort)
60500,0.119,0.000,0.191,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
68300,0.118,0.000,0.198,0.000,z3core.py:2646(Z3_get_arity)
764400,0.101,0.000,0.101,0.000,{built-in method builtins.isinstance}
47300,0.097,0.000,0.625,0.000,z3.py:366(eq)
9100,0.089,0.000,1.462,0.000,z3.py:755(__call__)
34200,0.083,0.000,0.160,0.000,z3core.py:1531(Z3_mk_string_symbol)
47300,0.082,0.000,0.136,0.000,z3core.py:2731(Z3_is_eq_ast)
32000,0.081,0.000,0.120,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
17300,0.080,0.000,0.127,0.000,z3core.py:2136(Z3_mk_numeral)
5700,0.078,0.000,0.089,0.000,z3core.py:1614(Z3_mk_datatypes)
47900,0.073,0.000,0.126,0.000,z3core.py:2516(Z3_get_sort_kind)
32000,0.072,0.000,0.611,0.000,z3.py:4912(constructor)
828900,0.072,0.000,0.072,0.000,z3types.py:39(from_param)
30700,0.072,0.000,0.109,0.000,z3core.py:2651(Z3_get_domain)
110000,0.071,0.000,0.423,0.000,z3.py:668(as_ast)
32000,0.068,0.000,0.145,0.000,z3core.py:2486(Z3_get_symbol_string)
17100,0.068,0.000,0.902,0.000,z3.py:4959(accessor)
30700,0.063,0.000,0.762,0.000,z3.py:697(domain)
17100,0.060,0.000,0.084,0.000,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
361100,0.060,0.000,0.065,0.000,z3.py:231(_get_ctx)
30700,0.058,0.000,0.436,0.000,z3.py:608(_to_sort_ref)
602700,0.056,0.000,0.056,0.000,z3types.py:31(from_param)
68300,0.055,0.000,0.287,0.000,z3.py:688(arity)
24600,0.054,0.000,0.083,0.000,z3core.py:1556(Z3_mk_bv_sort)
32000,0.054,0.000,0.092,0.000,z3core.py:2631(Z3_get_decl_name)
39600,0.053,0.000,0.489,0.000,z3.py:3258(sort)
27200,0.051,0.000,1.511,0.000,z3.py:1106(_coerce_exprs)
60500,0.050,0.000,0.270,0.000,z3.py:4899(num_constructors)
370500,0.049,0.000,0.049,0.000,z3.py:94(_z3_assert)
32000,0.048,0.000,0.083,0.000,z3core.py:2476(Z3_get_symbol_kind)
17200,0.046,0.000,0.271,0.000,z3.py:1041(_to_expr_ref)
