ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1628900,1.401,0.000,1.548,0.000,z3core.py:1382(Check)
355400,0.545,0.000,0.949,0.000,z3core.py:2506(Z3_sort_to_ast)
241000,0.350,0.000,1.748,0.000,z3.py:307(__init__)
241000,0.343,0.000,0.599,0.000,z3core.py:1424(Z3_inc_ref)
241000,0.343,0.000,1.699,0.000,z3.py:312(__del__)
241000,0.334,0.000,0.588,0.000,z3core.py:1428(Z3_dec_ref)
3257800,0.301,0.000,0.301,0.000,z3types.py:19(from_param)
886400,0.277,0.000,0.380,0.000,z3.py:362(ctx_ref)
355400,0.222,0.000,1.316,0.000,z3.py:513(as_ast)
1851100,0.218,0.000,0.218,0.000,z3.py:196(ref)
5700,0.202,0.000,2.176,0.000,z3.py:4805(CreateDatatypes)
110000,0.172,0.000,0.298,0.000,z3core.py:2616(Z3_func_decl_to_ast)
84600,0.138,0.000,0.236,0.000,z3core.py:2746(Z3_get_sort)
68300,0.116,0.000,0.194,0.000,z3core.py:2646(Z3_get_arity)
60500,0.116,0.000,0.186,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
674100,0.089,0.000,0.089,0.000,{built-in method builtins.isinstance}
9100,0.087,0.000,1.434,0.000,z3.py:755(__call__)
41000,0.082,0.000,0.537,0.000,z3.py:366(eq)
34200,0.080,0.000,0.156,0.000,z3core.py:1531(Z3_mk_string_symbol)
32000,0.079,0.000,0.118,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
5700,0.077,0.000,0.087,0.000,z3core.py:1614(Z3_mk_datatypes)
110000,0.071,0.000,0.413,0.000,z3.py:668(as_ast)
32000,0.071,0.000,0.598,0.000,z3.py:4912(constructor)
41000,0.071,0.000,0.118,0.000,z3core.py:2731(Z3_is_eq_ast)
30700,0.070,0.000,0.108,0.000,z3core.py:2651(Z3_get_domain)
45800,0.068,0.000,0.118,0.000,z3core.py:2516(Z3_get_sort_kind)
17100,0.067,0.000,0.885,0.000,z3.py:4959(accessor)
32000,0.067,0.000,0.142,0.000,z3core.py:2486(Z3_get_symbol_string)
719700,0.063,0.000,0.063,0.000,z3types.py:39(from_param)
30700,0.062,0.000,0.747,0.000,z3.py:697(domain)
17100,0.060,0.000,0.083,0.000,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
13100,0.058,0.000,0.093,0.000,z3core.py:2136(Z3_mk_numeral)
30700,0.056,0.000,0.425,0.000,z3.py:608(_to_sort_ref)
68300,0.055,0.000,0.280,0.000,z3.py:688(arity)
327500,0.054,0.000,0.059,0.000,z3.py:231(_get_ctx)
32000,0.053,0.000,0.090,0.000,z3core.py:2631(Z3_get_decl_name)
24600,0.053,0.000,0.081,0.000,z3core.py:1556(Z3_mk_bv_sort)
550200,0.051,0.000,0.051,0.000,z3types.py:31(from_param)
60500,0.050,0.000,0.266,0.000,z3.py:4899(num_constructors)
32000,0.046,0.000,0.080,0.000,z3core.py:2476(Z3_get_symbol_kind)
343200,0.046,0.000,0.046,0.000,z3.py:94(_z3_assert)
32000,0.041,0.000,0.271,0.000,z3.py:116(_symbol2py)
34200,0.040,0.000,0.221,0.000,z3.py:109(to_symbol)
15100,0.040,0.000,0.236,0.000,z3.py:1041(_to_expr_ref)
27300,0.039,0.000,0.348,0.000,z3.py:4990(sort)
18800,0.037,0.000,1.138,0.000,z3.py:1106(_coerce_exprs)
27000,0.036,0.000,0.333,0.000,z3.py:3258(sort)
32000,0.036,0.000,0.412,0.000,z3.py:677(name)
13100,0.036,0.000,0.379,0.000,z3.py:3777(BitVecVal)
9100,0.035,0.000,0.048,0.000,z3core.py:1627(Z3_mk_app)
24600,0.034,0.000,0.320,0.000,z3.py:3763(BitVecSort)
14700,0.034,0.000,0.543,0.000,z3.py:543(cast)
42100,0.033,0.000,0.703,0.000,z3.py:1088(_coerce_expr_merge)
18400,0.033,0.000,0.054,0.000,z3core.py:2636(Z3_get_decl_kind)
134900,0.032,0.000,0.050,0.000,z3.py:1135(is_expr)
285800,0.032,0.000,0.032,0.000,z3.py:56(z3_debug)
20600,0.032,0.000,0.055,0.000,z3core.py:2521(Z3_get_bv_sort_size)
35200,0.030,0.000,0.138,0.000,z3.py:3228(cast)
5600,0.030,0.000,0.857,0.000,z3.py:1268(If)
16700,0.029,0.000,0.048,0.000,z3core.py:2761(Z3_get_ast_kind)
5700,0.029,0.000,0.038,0.000,z3core.py:1591(Z3_mk_constructor)
9200,0.029,0.000,0.853,0.000,sorts.py:21(sizes)
240900,0.029,0.000,0.029,0.000,z3.py:903(as_ast)
32300,0.028,0.000,0.040,0.000,z3core.py:83(_to_pystr)
47300,0.026,0.000,0.048,0.000,z3core.py:69(_str_to_bytes)
268500,0.026,0.000,0.026,0.000,z3types.py:35(from_param)
5700,0.024,0.000,2.580,0.000,sorts.py:10(FloatSort)
5400,0.023,0.000,3.255,0.001,sorts.py:25(get_sort)
9200,0.023,0.000,0.417,0.000,z3printer.py:1236(obj_to_string)
10700,0.021,0.000,0.378,0.000,z3.py:1392(cast)
5700,0.021,0.000,0.029,0.000,z3core.py:2566(Z3_get_datatype_sort_recognizer)
15200,0.021,0.000,0.189,0.000,z3.py:1426(sort)
30700,0.020,0.000,0.106,0.000,z3.py:508(_sort_kind)
2000,0.020,0.000,0.076,0.000,z3.py:3836(Concat)
5700,0.019,0.000,2.247,0.000,z3.py:4771(create)
100,0.019,0.000,0.019,0.000,z3core.py:2946(Z3_simplify)
17100,0.019,0.000,0.031,0.000,z3.py:4701(_valid_accessor)
18900,0.018,0.000,0.028,0.000,z3.py:126(_get_args)
6700,0.018,0.000,0.600,0.000,z3.py:932(__eq__)
28500,0.017,0.000,0.017,0.000,{built-in method builtins.setattr}
6700,0.017,0.000,0.026,0.000,z3core.py:1666(Z3_mk_eq)
47300,0.017,0.000,0.017,0.000,{method 'encode' of 'str' objects}
20600,0.017,0.000,0.081,0.000,z3.py:3216(size)
5600,0.017,0.000,0.025,0.000,z3core.py:1681(Z3_mk_ite)
8300,0.017,0.000,0.027,0.000,z3.py:455(_ctx_from_ast_arg_list)
5700,0.016,0.000,0.060,0.000,z3.py:4741(declare_core)
9200,0.016,0.000,0.325,0.000,z3printer.py:1106(main)
9200,0.016,0.000,0.179,0.000,z3printer.py:216(_op_name)
64500,0.016,0.000,0.024,0.000,z3.py:412(is_ast)
13100,0.016,0.000,0.023,0.000,z3.py:2960(_to_int_str)
5700,0.016,0.000,0.079,0.000,z3.py:4748(declare)
112600,0.016,0.000,0.016,0.000,{built-in method builtins.len}
10100,0.015,0.000,0.032,0.000,z3printer.py:460(pp_string)
5700,0.014,0.000,0.021,0.000,z3core.py:1605(Z3_mk_constructor_list)
5700,0.014,0.000,0.118,0.000,z3.py:4931(recognizer)
10200,0.014,0.000,0.022,0.000,z3printer.py:387(to_format)
3700,0.014,0.000,0.019,0.000,z3core.py:1921(Z3_mk_concat)
18400,0.013,0.000,0.076,0.000,z3.py:719(kind)
5700,0.013,0.000,0.020,0.000,z3core.py:1610(Z3_del_constructor_list)
49100,0.012,0.000,0.019,0.000,z3.py:64(_is_int)
9200,0.012,0.000,0.060,0.000,z3printer.py:509(__call__)
100,0.012,0.000,1.792,0.018,packing.py:69(pack)
32300,0.011,0.000,0.011,0.000,{method 'decode' of 'bytes' objects}
10500/9200,0.011,0.000,0.048,0.000,z3printer.py:493(pp)
5700,0.011,0.000,0.017,0.000,z3core.py:1596(Z3_del_constructor)
43300,0.010,0.000,0.015,0.000,z3.py:596(is_sort)
6200,0.010,0.000,0.017,0.000,z3core.py:1541(Z3_mk_bool_sort)
200,0.010,0.000,5.749,0.029,packing.py:8(unpack)
1600,0.010,0.000,1.798,0.001,conversions.py:4(to_ieee_bv)
9100,0.010,0.000,0.253,0.000,z3printer.py:1013(pp_decl)
6200,0.009,0.000,0.076,0.000,z3.py:1553(BoolSort)
100,0.008,0.000,0.506,0.005,utils.py:4(clz)
75400,0.007,0.000,0.007,0.000,z3types.py:27(from_param)
9200,0.007,0.000,0.208,0.000,z3printer.py:539(pp_name)
10200,0.007,0.000,0.012,0.000,z3printer.py:410(_len)
100,0.007,0.000,8.504,0.085,operations.py:148(div)
900,0.007,0.000,1.350,0.001,sorts.py:29(ensure_eq_sort)
2100,0.007,0.000,0.008,0.000,z3.py:478(_to_ast_array)
800,0.007,0.000,3.148,0.004,predicates.py:4(eq_bitwise)
5700,0.007,0.000,0.028,0.000,z3.py:4801(__del__)
1100,0.007,0.000,0.172,0.000,z3.py:1700(And)
5700,0.007,0.000,0.038,0.000,z3.py:4745(<listcomp>)
36100,0.006,0.000,0.006,0.000,{method 'append' of 'list' objects}
1000,0.006,0.000,0.178,0.000,z3.py:1732(Or)
2200,0.006,0.000,0.152,0.000,z3.py:3280(__add__)
9200,0.006,0.000,0.331,0.000,z3printer.py:1132(__call__)
2200,0.006,0.000,0.009,0.000,z3core.py:1841(Z3_mk_bvadd)
5700,0.006,0.000,0.024,0.000,z3.py:4792(__del__)
10100,0.006,0.000,0.006,0.000,z3printer.py:373(__init__)
100,0.005,0.000,0.399,0.004,packing.py:38(round)
9200,0.005,0.000,0.423,0.000,z3.py:320(__str__)
25300,0.005,0.000,0.005,0.000,{built-in method builtins.all}
30300,0.005,0.000,0.005,0.000,z3.py:211(main_ctx)
1500,0.005,0.000,0.085,0.000,z3.py:4036(LShR)
1100,0.004,0.000,0.006,0.000,z3core.py:1701(Z3_mk_and)
800,0.004,0.000,0.348,0.000,constructors.py:22(FloatVal)
5700,0.004,0.000,0.007,0.000,z3.py:4731(__init__)
800,0.004,0.000,0.005,0.000,z3core.py:1936(Z3_mk_zero_ext)
1500,0.004,0.000,0.006,0.000,z3core.py:1951(Z3_mk_bvlshr)
2100,0.004,0.000,0.281,0.000,z3.py:1124(_coerce_expr_list)
1000,0.004,0.000,0.005,0.000,z3core.py:1706(Z3_mk_or)
9200,0.004,0.000,0.004,0.000,{method 'getvalue' of '_io.StringIO' objects}
13100,0.003,0.000,0.006,0.000,z3.py:3245(is_bv_sort)
2100,0.003,0.000,0.115,0.000,z3.py:1118(_reduce)
10100,0.003,0.000,0.003,0.000,{method 'write' of '_io.StringIO' objects}
100,0.003,0.000,0.240,0.002,operations.py:119(__div_core)
9400,0.003,0.000,0.003,0.000,{method 'get' of 'dict' objects}
5700,0.003,0.000,0.003,0.000,z3.py:4836(<listcomp>)
800,0.003,0.000,0.013,0.000,z3.py:4126(ZeroExt)
1000,0.003,0.000,0.004,0.000,z3core.py:1846(Z3_mk_bvsub)
5700,0.003,0.000,0.003,0.000,z3.py:4835(<listcomp>)
2200,0.003,0.000,0.055,0.000,z3.py:3269(size)
10100,0.003,0.000,0.004,0.000,z3.py:3706(is_bv)
5700,0.003,0.000,0.003,0.000,z3.py:4789(__init__)
200,0.003,0.000,0.301,0.002,predicates.py:53(is_subnormal)
2100,0.002,0.000,0.162,0.000,z3.py:1133(<listcomp>)
11200,0.002,0.000,0.002,0.000,{built-in method builtins.getattr}
2600,0.002,0.000,0.004,0.000,z3.py:3904(_check_bv_args)
300,0.002,0.000,0.003,0.000,z3core.py:2791(Z3_get_numeral_string)
200,0.002,0.000,0.295,0.001,predicates.py:36(is_nan)
800,0.002,0.000,0.051,0.000,z3.py:3326(__sub__)
5700,0.002,0.000,0.002,0.000,z3.py:4837(<listcomp>)
200,0.002,0.000,0.282,0.001,predicates.py:20(is_inf)
400/100,0.002,0.000,0.044,0.000,z3printer.py:917(pp_app)
2000,0.002,0.000,0.004,0.000,z3.py:3875(<listcomp>)
600,0.002,0.000,0.037,0.000,z3.py:1669(Not)
400,0.002,0.000,0.007,0.000,z3.py:3881(Extract)
5700,0.002,0.000,0.002,0.000,z3.py:4798(__init__)
9100,0.002,0.000,0.003,0.000,z3.py:787(is_func_decl)
100,0.002,0.000,0.055,0.001,{built-in method builtins.print}
400,0.002,0.000,2.027,0.005,predicates.py:11(is_neg_zero)
400,0.002,0.000,0.003,0.000,z3core.py:1926(Z3_mk_extract)
400,0.002,0.000,2.008,0.005,predicates.py:8(is_pos_zero)
1600,0.002,0.000,0.007,0.000,z3.py:450(_ast_kind)
600,0.002,0.000,0.037,0.000,z3.py:3959(UGT)
2100,0.002,0.000,0.003,0.000,z3.py:1693(_has_probe)
600,0.002,0.000,0.002,0.000,z3core.py:1911(Z3_mk_bvugt)
10100,0.002,0.000,0.002,0.000,z3printer.py:376(is_string)
10100,0.001,0.000,0.001,0.000,z3printer.py:142(u)
600,0.001,0.000,0.002,0.000,z3core.py:1676(Z3_mk_not)
5200,0.001,0.000,0.002,0.000,z3.py:8085(is_probe)
400,0.001,0.000,4.103,0.010,predicates.py:14(is_zero)
1600,0.001,0.000,0.009,0.000,z3.py:1157(is_app)
800,0.001,0.000,0.148,0.000,constructors.py:8(FloatVar)
100,0.001,0.000,8.517,0.085,api.py:166(div)
100,0.001,0.000,0.001,0.000,z3core.py:1991(Z3_mk_bvadd_no_overflow)
500,0.001,0.000,0.005,0.000,z3.py:989(num_args)
300,0.001,0.000,0.011,0.000,z3.py:1005(arg)
200,0.001,0.000,0.001,0.000,z3core.py:1931(Z3_mk_sign_ext)
100,0.001,0.000,0.036,0.000,z3printer.py:734(pp_prefix)
300,0.001,0.000,0.001,0.000,z3core.py:1946(Z3_mk_bvshl)
500,0.001,0.000,0.002,0.000,z3core.py:2721(Z3_get_app_num_args)
300,0.001,0.000,0.001,0.000,z3core.py:2726(Z3_get_app_arg)
400/100,0.001,0.000,0.046,0.000,z3printer.py:1000(pp_expr)
200,0.001,0.000,0.003,0.000,z3.py:4097(SignExt)
200,0.001,0.000,0.013,0.000,z3.py:3996(URem)
5700,0.001,0.000,0.001,0.000,z3types.py:59(from_param)
2400,0.001,0.000,0.001,0.000,z3.py:10080(is_seq)
