ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
68695300,61.038,0.000,67.552,0.000,z3core.py:1382(Check)
100,38.863,0.389,38.864,0.389,z3core.py:2946(Z3_simplify)
20780400,32.281,0.000,56.888,0.000,z3core.py:2506(Z3_sort_to_ast)
13311800,20.264,0.000,35.346,0.000,z3core.py:1424(Z3_inc_ref)
13311800,20.245,0.000,35.053,0.000,z3core.py:1428(Z3_dec_ref)
13311800,18.396,0.000,87.181,0.000,z3.py:312(__del__)
13311800,18.306,0.000,87.796,0.000,z3.py:307(__init__)
137390600,13.593,0.000,13.593,0.000,z3types.py:19(from_param)
20780400,12.801,0.000,78.262,0.000,z3.py:513(as_ast)
7333300,12.033,0.000,20.734,0.000,z3core.py:2746(Z3_get_sort)
34699600,10.925,0.000,14.905,0.000,z3.py:362(ctx_ref)
1796700,9.741,0.000,14.451,0.000,z3core.py:2136(Z3_mk_numeral)
80182500,9.354,0.000,9.354,0.000,z3.py:196(ref)
5323900,7.259,0.000,67.802,0.000,z3.py:3258(sort)
3550900,6.162,0.000,160.784,0.000,z3.py:1106(_coerce_exprs)
7099100,5.810,0.000,39.234,0.000,z3.py:3228(cast)
2792900,5.593,0.000,37.223,0.000,z3.py:366(eq)
40569100,5.340,0.000,5.340,0.000,{built-in method builtins.isinstance}
891200,4.904,0.000,127.199,0.000,z3.py:1268(If)
2792900,4.835,0.000,8.163,0.000,z3core.py:2731(Z3_is_eq_ast)
7127500,4.772,0.000,99.536,0.000,z3.py:1088(_coerce_expr_merge)
500,4.655,0.009,321.122,0.642,utils.py:4(clz)
18837400,4.327,0.000,6.706,0.000,z3.py:1135(is_expr)
48525400,4.139,0.000,4.139,0.000,z3types.py:39(from_param)
1796700,3.526,0.000,31.181,0.000,z3.py:3777(BitVecVal)
25397300,3.099,0.000,3.099,0.000,z3.py:903(as_ast)
891200,2.731,0.000,4.013,0.000,z3core.py:1681(Z3_mk_ite)
873000,2.602,0.000,50.561,0.000,z3.py:4036(LShR)
941200,2.477,0.000,14.809,0.000,z3.py:1041(_to_expr_ref)
897600,2.449,0.000,50.795,0.000,z3.py:932(__eq__)
875800,2.359,0.000,3.575,0.000,z3core.py:1841(Z3_mk_bvadd)
897600,2.341,0.000,3.541,0.000,z3core.py:1666(Z3_mk_eq)
873000,2.314,0.000,3.487,0.000,z3core.py:1951(Z3_mk_bvlshr)
875800,2.295,0.000,64.756,0.000,z3.py:3280(__add__)
15474800,2.279,0.000,2.302,0.000,z3.py:231(_get_ctx)
24363500,2.199,0.000,2.199,0.000,z3types.py:31(from_param)
1796700,2.189,0.000,3.150,0.000,z3.py:2960(_to_int_str)
906900,2.014,0.000,3.347,0.000,z3.py:455(_ctx_from_ast_arg_list)
921000,1.859,0.000,34.047,0.000,z3.py:1392(cast)
12952400,1.759,0.000,1.759,0.000,z3.py:94(_z3_assert)
942800,1.601,0.000,2.680,0.000,z3core.py:2761(Z3_get_ast_kind)
1099600,1.586,0.000,2.768,0.000,z3core.py:2516(Z3_get_sort_kind)
895300,1.447,0.000,2.517,0.000,z3core.py:1541(Z3_mk_bool_sort)
13539900,1.435,0.000,1.435,0.000,z3.py:56(z3_debug)
5497900,1.325,0.000,1.994,0.000,z3.py:412(is_ast)
946700,1.308,0.000,12.280,0.000,z3.py:1426(sort)
895300,1.230,0.000,11.241,0.000,z3.py:1553(BoolSort)
1970100,1.071,0.000,1.988,0.000,z3core.py:69(_str_to_bytes)
28900,1.020,0.000,11.201,0.000,z3.py:4805(CreateDatatypes)
556200,0.881,0.000,1.544,0.000,z3core.py:2616(Z3_func_decl_to_ast)
878400,0.759,0.000,1.358,0.000,z3.py:3904(_check_bv_args)
