ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
9307300,7.892,0.000,8.733,0.000,z3core.py:1382(Check)
2115600,3.201,0.000,5.591,0.000,z3core.py:2506(Z3_sort_to_ast)
1434200,2.051,0.000,10.053,0.000,z3.py:307(__init__)
1434200,2.017,0.000,9.825,0.000,z3.py:312(__del__)
1434200,2.008,0.000,3.516,0.000,z3core.py:1424(Z3_inc_ref)
1434200,1.964,0.000,3.464,0.000,z3core.py:1428(Z3_dec_ref)
18614600,1.724,0.000,1.724,0.000,z3types.py:19(from_param)
5005600,1.549,0.000,2.126,0.000,z3.py:362(ctx_ref)
2115600,1.306,0.000,7.752,0.000,z3.py:513(as_ast)
10613700,1.240,0.000,1.240,0.000,z3.py:196(ref)
28900,1.007,0.000,10.861,0.000,z3.py:4805(CreateDatatypes)
546100,0.880,0.000,1.513,0.000,z3core.py:2746(Z3_get_sort)
556200,0.851,0.000,1.484,0.000,z3core.py:2616(Z3_func_decl_to_ast)
352500,0.588,0.000,0.984,0.000,z3core.py:2646(Z3_get_arity)
306800,0.575,0.000,0.928,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
4087900,0.528,0.000,0.528,0.000,{built-in method builtins.isinstance}
247700,0.502,0.000,3.236,0.000,z3.py:366(eq)
49600,0.459,0.000,7.589,0.000,z3.py:755(__call__)
99900,0.449,0.000,0.712,0.000,z3core.py:2136(Z3_mk_numeral)
247700,0.425,0.000,0.709,0.000,z3core.py:2731(Z3_is_eq_ast)
173400,0.405,0.000,0.783,0.000,z3core.py:1531(Z3_mk_string_symbol)
162300,0.392,0.000,0.584,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
4408600,0.379,0.000,0.379,0.000,z3types.py:39(from_param)
28900,0.378,0.000,0.429,0.000,z3core.py:1614(Z3_mk_datatypes)
251200,0.366,0.000,0.635,0.000,z3core.py:2516(Z3_get_sort_kind)
162300,0.357,0.000,2.989,0.000,z3.py:4912(constructor)
158400,0.356,0.000,0.543,0.000,z3core.py:2651(Z3_get_domain)
556200,0.349,0.000,2.052,0.000,z3.py:668(as_ast)
165300,0.337,0.000,0.719,0.000,z3core.py:2486(Z3_get_symbol_string)
86700,0.335,0.000,4.422,0.000,z3.py:4959(accessor)
158400,0.316,0.000,3.796,0.000,z3.py:697(domain)
233500,0.312,0.000,2.874,0.000,z3.py:3258(sort)
86700,0.308,0.000,0.424,0.000,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
1900400,0.307,0.000,0.332,0.000,z3.py:231(_get_ctx)
158400,0.291,0.000,2.163,0.000,z3.py:608(_to_sort_ref)
3153500,0.290,0.000,0.290,0.000,z3types.py:31(from_param)
157300,0.288,0.000,8.013,0.000,z3.py:1106(_coerce_exprs)
352500,0.280,0.000,1.424,0.000,z3.py:688(arity)
165300,0.269,0.000,0.457,0.000,z3core.py:2631(Z3_get_decl_name)
311900,0.261,0.000,1.439,0.000,z3.py:3228(cast)
122600,0.258,0.000,0.395,0.000,z3core.py:1556(Z3_mk_bv_sort)
1923200,0.254,0.000,0.254,0.000,z3.py:94(_z3_assert)
340300,0.249,0.000,5.179,0.000,z3.py:1088(_coerce_expr_merge)
306800,0.248,0.000,1.322,0.000,z3.py:4899(num_constructors)
92800,0.243,0.000,1.425,0.000,z3.py:1041(_to_expr_ref)
1021000,0.241,0.000,0.373,0.000,z3.py:1135(is_expr)
99900,0.237,0.000,2.376,0.000,z3.py:3777(BitVecVal)
165300,0.236,0.000,0.408,0.000,z3core.py:2476(Z3_get_symbol_kind)
42800,0.230,0.000,6.163,0.000,z3.py:1268(If)
165300,0.212,0.000,1.380,0.000,z3.py:116(_symbol2py)
173400,0.203,0.000,1.108,0.000,z3.py:109(to_symbol)
1642100,0.188,0.000,0.188,0.000,z3.py:903(as_ast)
1662300,0.186,0.000,0.186,0.000,z3.py:56(z3_debug)
49600,0.186,0.000,0.252,0.000,z3core.py:1627(Z3_mk_app)
165300,0.184,0.000,2.094,0.000,z3.py:677(name)
121500,0.173,0.000,1.534,0.000,z3.py:4990(sort)
99400,0.170,0.000,0.285,0.000,z3core.py:2636(Z3_get_decl_kind)
122600,0.167,0.000,1.571,0.000,z3.py:3763(BitVecSort)
94400,0.162,0.000,0.268,0.000,z3core.py:2761(Z3_get_ast_kind)
67700,0.157,0.000,2.486,0.000,z3.py:543(cast)
102100,0.155,0.000,0.266,0.000,z3core.py:2521(Z3_get_bv_sort_size)
273300,0.149,0.000,0.275,0.000,z3core.py:69(_str_to_bytes)
28900,0.146,0.000,0.190,0.000,z3core.py:1591(Z3_mk_constructor)
46700,0.145,0.000,4.266,0.000,sorts.py:21(sizes)
