ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
8369300,7.113,0.000,7.861,0.000,z3core.py:1382(Check)
1820800,2.772,0.000,4.848,0.000,z3core.py:2506(Z3_sort_to_ast)
1246600,1.792,0.000,8.915,0.000,z3.py:307(__init__)
1246600,1.769,0.000,8.665,0.000,z3.py:312(__del__)
1246600,1.760,0.000,3.073,0.000,z3core.py:1424(Z3_inc_ref)
1246600,1.702,0.000,2.995,0.000,z3core.py:1428(Z3_dec_ref)
16738600,1.549,0.000,1.549,0.000,z3types.py:19(from_param)
4536600,1.398,0.000,1.922,0.000,z3.py:362(ctx_ref)
1820800,1.130,0.000,6.715,0.000,z3.py:513(as_ast)
9514900,1.112,0.000,1.112,0.000,z3.py:196(ref)
28900,1.007,0.000,10.849,0.000,z3.py:4805(CreateDatatypes)
556200,0.855,0.000,1.485,0.000,z3core.py:2616(Z3_func_decl_to_ast)
438900,0.716,0.000,1.225,0.000,z3core.py:2746(Z3_get_sort)
352500,0.590,0.000,0.984,0.000,z3core.py:2646(Z3_get_arity)
306800,0.579,0.000,0.933,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
49600,0.457,0.000,7.593,0.000,z3.py:755(__call__)
3511700,0.455,0.000,0.455,0.000,{built-in method builtins.isinstance}
207500,0.418,0.000,2.724,0.000,z3.py:366(eq)
173400,0.403,0.000,0.780,0.000,z3core.py:1531(Z3_mk_string_symbol)
162300,0.395,0.000,0.587,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
28900,0.376,0.000,0.428,0.000,z3core.py:1614(Z3_mk_datatypes)
162300,0.359,0.000,2.993,0.000,z3.py:4912(constructor)
158400,0.357,0.000,0.543,0.000,z3core.py:2651(Z3_get_domain)
207500,0.356,0.000,0.593,0.000,z3core.py:2731(Z3_is_eq_ast)
556200,0.351,0.000,2.054,0.000,z3.py:668(as_ast)
237800,0.349,0.000,0.603,0.000,z3core.py:2516(Z3_get_sort_kind)
165300,0.338,0.000,0.719,0.000,z3core.py:2486(Z3_get_symbol_string)
86700,0.335,0.000,4.415,0.000,z3.py:4959(accessor)
73100,0.328,0.000,0.519,0.000,z3core.py:2136(Z3_mk_numeral)
3711800,0.319,0.000,0.319,0.000,z3types.py:39(from_param)
158400,0.315,0.000,3.794,0.000,z3.py:697(domain)
86700,0.294,0.000,0.410,0.000,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
158400,0.288,0.000,2.167,0.000,z3.py:608(_to_sort_ref)
352500,0.277,0.000,1.421,0.000,z3.py:688(arity)
1686000,0.276,0.000,0.301,0.000,z3.py:231(_get_ctx)
165300,0.268,0.000,0.455,0.000,z3core.py:2631(Z3_get_decl_name)
2818500,0.259,0.000,0.259,0.000,z3types.py:31(from_param)
122600,0.257,0.000,0.393,0.000,z3core.py:1556(Z3_mk_bv_sort)
306800,0.251,0.000,1.327,0.000,z3.py:4899(num_constructors)
165300,0.234,0.000,0.408,0.000,z3core.py:2476(Z3_get_symbol_kind)
1749000,0.231,0.000,0.231,0.000,z3.py:94(_z3_assert)
165300,0.211,0.000,1.378,0.000,z3.py:116(_symbol2py)
79400,0.209,0.000,1.231,0.000,z3.py:1041(_to_expr_ref)
153100,0.204,0.000,1.894,0.000,z3.py:3258(sort)
173400,0.202,0.000,1.103,0.000,z3.py:109(to_symbol)
103700,0.195,0.000,5.696,0.000,z3.py:1106(_coerce_exprs)
73100,0.187,0.000,1.955,0.000,z3.py:3777(BitVecVal)
49600,0.187,0.000,0.253,0.000,z3core.py:1627(Z3_mk_app)
165300,0.183,0.000,2.089,0.000,z3.py:677(name)
