ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
16489300,14.676,0.000,16.242,0.000,z3core.py:1382(Check)
4372800,6.777,0.000,11.962,0.000,z3core.py:2506(Z3_sort_to_ast)
2870600,4.342,0.000,7.599,0.000,z3core.py:1424(Z3_inc_ref)
2870600,4.200,0.000,7.413,0.000,z3core.py:1428(Z3_dec_ref)
2870600,4.014,0.000,19.791,0.000,z3.py:307(__init__)
2870600,4.003,0.000,19.416,0.000,z3.py:312(__del__)
32978600,3.284,0.000,3.284,0.000,z3types.py:19(from_param)
8596600,2.735,0.000,3.716,0.000,z3.py:362(ctx_ref)
4372800,2.689,0.000,16.450,0.000,z3.py:513(as_ast)
1366900,2.241,0.000,3.866,0.000,z3core.py:2746(Z3_get_sort)
19026900,2.211,0.000,2.211,0.000,z3.py:196(ref)
305100,1.402,0.000,2.188,0.000,z3core.py:2136(Z3_mk_numeral)
849100,1.163,0.000,10.778,0.000,z3.py:3258(sort)
8499700,1.130,0.000,1.130,0.000,{built-in method builtins.isinstance}
555500,1.103,0.000,7.381,0.000,z3.py:366(eq)
28900,1.027,0.000,11.199,0.000,z3.py:4805(CreateDatatypes)
567700,0.997,0.000,26.383,0.000,z3.py:1106(_coerce_exprs)
555500,0.947,0.000,1.607,0.000,z3core.py:2731(Z3_is_eq_ast)
1132700,0.925,0.000,5.805,0.000,z3.py:3228(cast)
556200,0.882,0.000,1.548,0.000,z3core.py:2616(Z3_func_decl_to_ast)
9743800,0.862,0.000,0.862,0.000,z3types.py:39(from_param)
145400,0.795,0.000,20.893,0.000,z3.py:1268(If)
1161100,0.792,0.000,16.657,0.000,z3.py:1088(_coerce_expr_merge)
3175600,0.744,0.000,1.152,0.000,z3.py:1135(is_expr)
500,0.677,0.001,46.209,0.092,utils.py:4(clz)
305100,0.633,0.000,5.700,0.000,z3.py:3777(BitVecVal)
352500,0.599,0.000,1.013,0.000,z3core.py:2646(Z3_get_arity)
306800,0.577,0.000,0.943,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
4514900,0.558,0.000,0.558,0.000,z3.py:903(as_ast)
3542000,0.552,0.000,0.575,0.000,z3.py:231(_get_ctx)
353800,0.528,0.000,0.916,0.000,z3core.py:2516(Z3_get_sort_kind)
5718500,0.519,0.000,0.519,0.000,z3types.py:31(from_param)
195400,0.517,0.000,3.092,0.000,z3.py:1041(_to_expr_ref)
49600,0.468,0.000,7.768,0.000,z3.py:755(__call__)
3257000,0.440,0.000,0.440,0.000,z3.py:94(_z3_assert)
173400,0.434,0.000,0.832,0.000,z3core.py:1531(Z3_mk_string_symbol)
145400,0.432,0.000,0.643,0.000,z3core.py:1681(Z3_mk_ite)
151800,0.409,0.000,9.260,0.000,z3.py:932(__eq__)
100,0.409,0.004,0.409,0.004,z3core.py:2946(Z3_simplify)
28900,0.398,0.000,0.449,0.000,z3core.py:1614(Z3_mk_datatypes)
151800,0.386,0.000,0.590,0.000,z3core.py:1666(Z3_mk_eq)
162300,0.382,0.000,0.585,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
127200,0.375,0.000,7.267,0.000,z3.py:4036(LShR)
556200,0.364,0.000,2.137,0.000,z3.py:668(as_ast)
162300,0.360,0.000,3.069,0.000,z3.py:4912(constructor)
305100,0.359,0.000,0.526,0.000,z3.py:2960(_to_int_str)
158400,0.353,0.000,0.552,0.000,z3core.py:2651(Z3_get_domain)
175200,0.353,0.000,6.435,0.000,z3.py:1392(cast)
86700,0.346,0.000,4.557,0.000,z3.py:4959(accessor)
130000,0.344,0.000,0.526,0.000,z3core.py:1841(Z3_mk_bvadd)
161100,0.343,0.000,0.572,0.000,z3.py:455(_ctx_from_ast_arg_list)
165300,0.341,0.000,0.736,0.000,z3core.py:2486(Z3_get_symbol_string)
130000,0.340,0.000,9.542,0.000,z3.py:3280(__add__)
197000,0.339,0.000,0.568,0.000,z3core.py:2761(Z3_get_ast_kind)
3098700,0.337,0.000,0.337,0.000,z3.py:56(z3_debug)
127200,0.327,0.000,0.501,0.000,z3core.py:1951(Z3_mk_bvlshr)
158400,0.315,0.000,3.878,0.000,z3.py:697(domain)
86700,0.300,0.000,0.417,0.000,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
158400,0.290,0.000,2.224,0.000,z3.py:608(_to_sort_ref)
352500,0.280,0.000,1.457,0.000,z3.py:688(arity)
200900,0.276,0.000,2.596,0.000,z3.py:1426(sort)
165300,0.269,0.000,0.466,0.000,z3core.py:2631(Z3_get_decl_name)
478500,0.261,0.000,0.479,0.000,z3core.py:69(_str_to_bytes)
122600,0.258,0.000,0.402,0.000,z3core.py:1556(Z3_mk_bv_sort)
306800,0.253,0.000,1.350,0.000,z3.py:4899(num_constructors)
1023100,0.249,0.000,0.377,0.000,z3.py:412(is_ast)
149500,0.241,0.000,0.420,0.000,z3core.py:1541(Z3_mk_bool_sort)
165300,0.237,0.000,0.420,0.000,z3core.py:2476(Z3_get_symbol_kind)
173400,0.214,0.000,1.171,0.000,z3.py:109(to_symbol)
165300,0.211,0.000,1.408,0.000,z3.py:116(_symbol2py)
149500,0.205,0.000,1.868,0.000,z3.py:1553(BoolSort)
49600,0.185,0.000,0.254,0.000,z3core.py:1627(Z3_mk_app)
165300,0.183,0.000,2.132,0.000,z3.py:677(name)
478500,0.176,0.000,0.176,0.000,{method 'encode' of 'str' objects}
122600,0.175,0.000,1.623,0.000,z3.py:3763(BitVecSort)
121500,0.175,0.000,1.592,0.000,z3.py:4990(sort)
99400,0.173,0.000,0.293,0.000,z3core.py:2636(Z3_get_decl_kind)
67700,0.164,0.000,2.581,0.000,z3.py:543(cast)
102100,0.158,0.000,0.271,0.000,z3core.py:2521(Z3_get_bv_sort_size)
28900,0.154,0.000,0.201,0.000,z3core.py:1591(Z3_mk_constructor)
46700,0.152,0.000,4.373,0.000,sorts.py:21(sizes)
165600,0.142,0.000,0.203,0.000,z3core.py:83(_to_pystr)
1381400,0.132,0.000,0.132,0.000,z3types.py:35(from_param)
28900,0.123,0.000,13.263,0.000,sorts.py:10(FloatSort)
49700,0.122,0.000,2.012,0.000,z3printer.py:1236(obj_to_string)
483900,0.120,0.000,0.174,0.000,z3.py:64(_is_int)
28000,0.118,0.000,17.092,0.001,sorts.py:25(get_sort)
132600,0.115,0.000,0.206,0.000,z3.py:3904(_check_bv_args)
158400,0.106,0.000,0.556,0.000,z3.py:508(_sort_kind)
28900,0.103,0.000,0.144,0.000,z3core.py:2566(Z3_get_datatype_sort_recognizer)
99900,0.098,0.000,0.149,0.000,z3.py:126(_get_args)
28900,0.094,0.000,11.558,0.000,z3.py:4771(create)
9800,0.093,0.000,0.365,0.000,z3.py:3836(Concat)
86700,0.093,0.000,0.158,0.000,z3.py:4701(_valid_accessor)
49700,0.090,0.000,1.554,0.000,z3printer.py:1106(main)
144500,0.088,0.000,0.088,0.000,{built-in method builtins.setattr}
102100,0.088,0.000,0.407,0.000,z3.py:3216(size)
28900,0.083,0.000,0.305,0.000,z3.py:4741(declare_core)
49700,0.081,0.000,0.949,0.000,z3printer.py:216(_op_name)
581200,0.080,0.000,0.080,0.000,{built-in method builtins.len}
28900,0.079,0.000,0.400,0.000,z3.py:4748(declare)
28900,0.074,0.000,0.113,0.000,z3core.py:1605(Z3_mk_constructor_list)
50600,0.073,0.000,0.156,0.000,z3printer.py:460(pp_string)
305100,0.070,0.000,0.102,0.000,z3.py:3245(is_bv_sort)
28900,0.067,0.000,0.598,0.000,z3.py:4931(recognizer)
50700,0.067,0.000,0.108,0.000,z3printer.py:387(to_format)
99400,0.067,0.000,0.407,0.000,z3.py:719(kind)
18200,0.064,0.000,0.092,0.000,z3core.py:1921(Z3_mk_concat)
28900,0.062,0.000,0.100,0.000,z3core.py:1610(Z3_del_constructor_list)
165600,0.061,0.000,0.061,0.000,{method 'decode' of 'bytes' objects}
49700,0.060,0.000,0.284,0.000,z3printer.py:509(__call__)
500,0.060,0.000,52.920,0.106,packing.py:69(pack)
223000,0.055,0.000,0.076,0.000,z3.py:596(is_sort)
28900,0.054,0.000,0.089,0.000,z3core.py:1596(Z3_del_constructor)
8400,0.052,0.000,9.418,0.001,conversions.py:4(to_ieee_bv)
51000/49700,0.050,0.000,0.224,0.000,z3printer.py:493(pp)
49600,0.048,0.000,1.358,0.000,z3printer.py:1013(pp_decl)
