ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2245500,2.032,0.000,2.245,0.000,z3core.py:1382(Check)
552200,0.874,0.000,1.533,0.000,z3core.py:2506(Z3_sort_to_ast)
365200,0.561,0.000,0.978,0.000,z3core.py:1424(Z3_inc_ref)
365200,0.537,0.000,0.949,0.000,z3core.py:1428(Z3_dec_ref)
365200,0.524,0.000,2.634,0.000,z3.py:307(__init__)
365200,0.516,0.000,2.565,0.000,z3.py:312(__del__)
4491000,0.445,0.000,0.445,0.000,z3types.py:19(from_param)
1194400,0.385,0.000,0.524,0.000,z3.py:362(ctx_ref)
552200,0.343,0.000,2.106,0.000,z3.py:513(as_ast)
2573500,0.303,0.000,0.303,0.000,z3.py:196(ref)
157000,0.261,0.000,0.448,0.000,z3core.py:2746(Z3_get_sort)
5600,0.201,0.000,2.209,0.000,z3.py:4805(CreateDatatypes)
108000,0.176,0.000,0.308,0.000,z3core.py:2616(Z3_func_decl_to_ast)
31100,0.146,0.000,0.228,0.000,z3core.py:2136(Z3_mk_numeral)
1058400,0.143,0.000,0.143,0.000,{built-in method builtins.isinstance}
68200,0.141,0.000,0.920,0.000,z3.py:366(eq)
68200,0.119,0.000,0.201,0.000,z3core.py:2731(Z3_is_eq_ast)
67400,0.118,0.000,0.199,0.000,z3core.py:2646(Z3_get_arity)
59400,0.115,0.000,0.187,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
81300,0.112,0.000,1.039,0.000,z3.py:3258(sort)
1185300,0.104,0.000,0.104,0.000,z3types.py:39(from_param)
55300,0.101,0.000,2.805,0.000,z3.py:1106(_coerce_exprs)
108200,0.091,0.000,0.535,0.000,z3.py:3228(cast)
9100,0.091,0.000,1.500,0.000,z3.py:755(__call__)
54500,0.087,0.000,0.149,0.000,z3core.py:2516(Z3_get_sort_kind)
33600,0.086,0.000,0.164,0.000,z3core.py:1531(Z3_mk_string_symbol)
5600,0.085,0.000,0.095,0.000,z3core.py:1614(Z3_mk_datatypes)
115100,0.083,0.000,1.740,0.000,z3.py:1088(_coerce_expr_merge)
14700,0.081,0.000,2.187,0.000,z3.py:1268(If)
326300,0.079,0.000,0.121,0.000,z3.py:1135(is_expr)
31400,0.076,0.000,0.116,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
468100,0.075,0.000,0.080,0.000,z3.py:231(_get_ctx)
31400,0.072,0.000,0.606,0.000,z3.py:4912(constructor)
108000,0.071,0.000,0.423,0.000,z3.py:668(as_ast)
770900,0.071,0.000,0.071,0.000,z3types.py:31(from_param)
31100,0.071,0.000,0.672,0.000,z3.py:3777(BitVecVal)
30300,0.069,0.000,0.108,0.000,z3core.py:2651(Z3_get_domain)
16800,0.068,0.000,0.899,0.000,z3.py:4959(accessor)
31600,0.067,0.000,0.145,0.000,z3core.py:2486(Z3_get_symbol_string)
24200,0.065,0.000,0.391,0.000,z3.py:1041(_to_expr_ref)
493500,0.062,0.000,0.062,0.000,z3.py:903(as_ast)
30300,0.061,0.000,0.763,0.000,z3.py:697(domain)
457000,0.061,0.000,0.061,0.000,z3.py:94(_z3_assert)
16800,0.059,0.000,0.082,0.000,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
30300,0.057,0.000,0.439,0.000,z3.py:608(_to_sort_ref)
100,0.056,0.001,3.887,0.039,utils.py:4(clz)
67400,0.055,0.000,0.286,0.000,z3.py:688(arity)
31600,0.053,0.000,0.091,0.000,z3core.py:2631(Z3_get_decl_name)
23900,0.052,0.000,0.080,0.000,z3core.py:1556(Z3_mk_bv_sort)
59400,0.050,0.000,0.267,0.000,z3.py:4899(num_constructors)
31600,0.047,0.000,0.083,0.000,z3core.py:2476(Z3_get_symbol_kind)
25800,0.046,0.000,0.077,0.000,z3core.py:2761(Z3_get_ast_kind)
14700,0.045,0.000,0.067,0.000,z3core.py:1681(Z3_mk_ite)
410000,0.044,0.000,0.044,0.000,z3.py:56(z3_debug)
15800,0.043,0.000,1.119,0.000,z3.py:932(__eq__)
33600,0.041,0.000,0.229,0.000,z3.py:109(to_symbol)
31600,0.041,0.000,0.277,0.000,z3.py:116(_symbol2py)
15800,0.041,0.000,0.062,0.000,z3core.py:1666(Z3_mk_eq)
19800,0.041,0.000,0.726,0.000,z3.py:1392(cast)
27200,0.039,0.000,0.363,0.000,z3.py:4990(sort)
31100,0.038,0.000,0.054,0.000,z3.py:2960(_to_int_str)
17400,0.037,0.000,0.061,0.000,z3.py:455(_ctx_from_ast_arg_list)
9100,0.036,0.000,0.049,0.000,z3core.py:1627(Z3_mk_app)
64700,0.036,0.000,0.066,0.000,z3core.py:69(_str_to_bytes)
14700,0.036,0.000,0.574,0.000,z3.py:543(cast)
31600,0.035,0.000,0.418,0.000,z3.py:677(name)
23900,0.035,0.000,0.323,0.000,z3.py:3763(BitVecSort)
18400,0.034,0.000,0.057,0.000,z3core.py:2636(Z3_get_decl_kind)
24300,0.034,0.000,0.315,0.000,z3.py:1426(sort)
10700,0.032,0.000,0.614,0.000,z3.py:4036(LShR)
100,0.032,0.000,0.032,0.000,z3core.py:2946(Z3_simplify)
19900,0.031,0.000,0.054,0.000,z3core.py:2521(Z3_get_bv_sort_size)
11500,0.031,0.000,0.047,0.000,z3core.py:1841(Z3_mk_bvadd)
11500,0.031,0.000,0.841,0.000,z3.py:3280(__add__)
9000,0.030,0.000,0.860,0.000,sorts.py:21(sizes)
5600,0.029,0.000,0.039,0.000,z3core.py:1591(Z3_mk_constructor)
119000,0.029,0.000,0.045,0.000,z3.py:412(is_ast)
10700,0.028,0.000,0.042,0.000,z3core.py:1951(Z3_mk_bvlshr)
31900,0.028,0.000,0.040,0.000,z3core.py:83(_to_pystr)
264800,0.026,0.000,0.026,0.000,z3types.py:35(from_param)
15300,0.025,0.000,0.044,0.000,z3core.py:1541(Z3_mk_bool_sort)
5600,0.024,0.000,2.618,0.000,sorts.py:10(FloatSort)
9200,0.024,0.000,0.429,0.000,z3printer.py:1236(obj_to_string)
64700,0.024,0.000,0.024,0.000,{method 'encode' of 'str' objects}
5300,0.023,0.000,3.302,0.001,sorts.py:25(get_sort)
15300,0.021,0.000,0.192,0.000,z3.py:1553(BoolSort)
30300,0.021,0.000,0.111,0.000,z3.py:508(_sort_kind)
5600,0.021,0.000,0.029,0.000,z3core.py:2566(Z3_get_datatype_sort_recognizer)
1800,0.019,0.000,0.074,0.000,z3.py:3836(Concat)
5600,0.019,0.000,2.280,0.000,z3.py:4771(create)
18600,0.018,0.000,0.028,0.000,z3.py:126(_get_args)
16800,0.018,0.000,0.031,0.000,z3.py:4701(_valid_accessor)
19900,0.017,0.000,0.081,0.000,z3.py:3216(size)
28000,0.017,0.000,0.017,0.000,{built-in method builtins.setattr}
9200,0.017,0.000,0.335,0.000,z3printer.py:1106(main)
66100,0.016,0.000,0.025,0.000,z3.py:64(_is_int)
5600,0.016,0.000,0.060,0.000,z3.py:4741(declare_core)
5600,0.016,0.000,0.079,0.000,z3.py:4748(declare)
111200,0.016,0.000,0.016,0.000,{built-in method builtins.len}
9200,0.016,0.000,0.185,0.000,z3printer.py:216(_op_name)
5600,0.015,0.000,0.022,0.000,z3core.py:1605(Z3_mk_constructor_list)
10100,0.015,0.000,0.032,0.000,z3printer.py:460(pp_string)
10200,0.014,0.000,0.022,0.000,z3printer.py:387(to_format)
5600,0.013,0.000,0.118,0.000,z3.py:4931(recognizer)
3400,0.013,0.000,0.018,0.000,z3core.py:1921(Z3_mk_concat)
18400,0.013,0.000,0.079,0.000,z3.py:719(kind)
5600,0.012,0.000,0.020,0.000,z3core.py:1610(Z3_del_constructor_list)
100,0.012,0.000,5.236,0.052,packing.py:69(pack)
31900,0.012,0.000,0.012,0.000,{method 'decode' of 'bytes' objects}
9200,0.012,0.000,0.059,0.000,z3printer.py:509(__call__)
1600,0.011,0.000,1.893,0.001,conversions.py:4(to_ieee_bv)
5600,0.011,0.000,0.018,0.000,z3core.py:1596(Z3_del_constructor)
10500/9200,0.011,0.000,0.048,0.000,z3printer.py:493(pp)
42700,0.011,0.000,0.015,0.000,z3.py:596(is_sort)
11600,0.010,0.000,0.018,0.000,z3.py:3904(_check_bv_args)
200,0.009,0.000,5.955,0.030,packing.py:8(unpack)
9100,0.009,0.000,0.261,0.000,z3printer.py:1013(pp_decl)
800,0.008,0.000,3.282,0.004,predicates.py:4(eq_bitwise)
74400,0.008,0.000,0.008,0.000,z3types.py:27(from_param)
9200,0.008,0.000,0.214,0.000,z3printer.py:539(pp_name)
10200,0.007,0.000,0.013,0.000,z3printer.py:410(_len)
31100,0.007,0.000,0.011,0.000,z3.py:3245(is_bv_sort)
2100,0.007,0.000,0.008,0.000,z3.py:478(_to_ast_array)
1100,0.007,0.000,0.179,0.000,z3.py:1700(And)
900,0.007,0.000,1.387,0.002,sorts.py:29(ensure_eq_sort)
5600,0.007,0.000,0.028,0.000,z3.py:4801(__del__)
5600,0.007,0.000,0.038,0.000,z3.py:4745(<listcomp>)
35700,0.006,0.000,0.006,0.000,{method 'append' of 'list' objects}
1000,0.006,0.000,0.185,0.000,z3.py:1732(Or)
100,0.006,0.000,12.042,0.120,operations.py:96(mul)
9200,0.006,0.000,0.341,0.000,z3printer.py:1132(__call__)
5600,0.006,0.000,0.025,0.000,z3.py:4792(__del__)
9200,0.005,0.000,0.435,0.000,z3.py:320(__str__)
10100,0.005,0.000,0.006,0.000,z3printer.py:373(__init__)
100,0.005,0.000,0.421,0.004,packing.py:38(round)
24700,0.005,0.000,0.005,0.000,{built-in method builtins.all}
18400,0.005,0.000,0.008,0.000,z3.py:3706(is_bv)
9200,0.005,0.000,0.005,0.000,{method 'getvalue' of '_io.StringIO' objects}
29500,0.005,0.000,0.005,0.000,z3.py:211(main_ctx)
900,0.004,0.000,0.006,0.000,z3core.py:1936(Z3_mk_zero_ext)
1100,0.004,0.000,0.006,0.000,z3core.py:1701(Z3_mk_and)
800,0.004,0.000,0.348,0.000,constructors.py:22(FloatVal)
5600,0.004,0.000,0.007,0.000,z3.py:4731(__init__)
1000,0.004,0.000,0.005,0.000,z3core.py:1706(Z3_mk_or)
2100,0.004,0.000,0.292,0.000,z3.py:1124(_coerce_expr_list)
2100,0.003,0.000,0.119,0.000,z3.py:1118(_reduce)
9400,0.003,0.000,0.003,0.000,{method 'get' of 'dict' objects}
900,0.003,0.000,0.015,0.000,z3.py:4126(ZeroExt)
10100,0.003,0.000,0.003,0.000,{method 'write' of '_io.StringIO' objects}
5600,0.003,0.000,0.003,0.000,z3.py:4836(<listcomp>)
5600,0.003,0.000,0.003,0.000,z3.py:4789(__init__)
2100,0.003,0.000,0.168,0.000,z3.py:1133(<listcomp>)
5600,0.002,0.000,0.003,0.000,z3.py:4835(<listcomp>)
900,0.002,0.000,0.004,0.000,z3core.py:1846(Z3_mk_bvsub)
200,0.002,0.000,0.309,0.002,predicates.py:53(is_subnormal)
1900,0.002,0.000,0.049,0.000,z3.py:3269(size)
11200,0.002,0.000,0.002,0.000,{built-in method builtins.getattr}
5600,0.002,0.000,0.002,0.000,z3.py:4798(__init__)
200,0.002,0.000,0.307,0.002,predicates.py:36(is_nan)
400/100,0.002,0.000,0.045,0.000,z3printer.py:917(pp_app)
200,0.002,0.000,0.293,0.001,predicates.py:20(is_inf)
100,0.002,0.000,0.256,0.003,operations.py:83(__mul_core)
300,0.002,0.000,0.003,0.000,z3core.py:2791(Z3_get_numeral_string)
600,0.002,0.000,0.038,0.000,z3.py:1669(Not)
100,0.002,0.000,0.057,0.001,{built-in method builtins.print}
5600,0.002,0.000,0.002,0.000,z3.py:4837(<listcomp>)
9100,0.002,0.000,0.003,0.000,z3.py:787(is_func_decl)
1800,0.002,0.000,0.004,0.000,z3.py:3875(<listcomp>)
700,0.002,0.000,0.045,0.000,z3.py:3326(__sub__)
400,0.002,0.000,2.058,0.005,predicates.py:11(is_neg_zero)
600,0.002,0.000,0.039,0.000,z3.py:3959(UGT)
400,0.002,0.000,2.122,0.005,predicates.py:8(is_pos_zero)
1600,0.002,0.000,0.007,0.000,z3.py:450(_ast_kind)
600,0.002,0.000,0.002,0.000,z3core.py:1911(Z3_mk_bvugt)
2100,0.002,0.000,0.003,0.000,z3.py:1693(_has_probe)
10100,0.002,0.000,0.002,0.000,z3printer.py:142(u)
600,0.001,0.000,0.002,0.000,z3core.py:1676(Z3_mk_not)
10100,0.001,0.000,0.001,0.000,z3printer.py:376(is_string)
5200,0.001,0.000,0.002,0.000,z3.py:8085(is_probe)
800,0.001,0.000,0.153,0.000,constructors.py:8(FloatVar)
100,0.001,0.000,12.056,0.121,api.py:162(mul)
1600,0.001,0.000,0.009,0.000,z3.py:1157(is_app)
400,0.001,0.000,4.252,0.011,predicates.py:14(is_zero)
100,0.001,0.000,0.001,0.000,z3core.py:1991(Z3_mk_bvadd_no_overflow)
200,0.001,0.000,0.001,0.000,z3core.py:1926(Z3_mk_extract)
500,0.001,0.000,0.005,0.000,z3.py:989(num_args)
200,0.001,0.000,0.004,0.000,z3.py:3881(Extract)
300,0.001,0.000,0.012,0.000,z3.py:1005(arg)
300,0.001,0.000,0.001,0.000,z3core.py:1946(Z3_mk_bvshl)
500,0.001,0.000,0.001,0.000,z3core.py:2721(Z3_get_app_num_args)
100,0.001,0.000,0.037,0.000,z3printer.py:734(pp_prefix)
400/100,0.001,0.000,0.047,0.000,z3printer.py:1000(pp_expr)
300,0.001,0.000,0.001,0.000,z3core.py:2726(Z3_get_app_arg)
5600,0.001,0.000,0.001,0.000,z3types.py:59(from_param)
5600,0.001,0.000,0.001,0.000,z3types.py:55(from_param)
