ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1839500,1.656,0.000,1.834,0.000,z3core.py:1382(Check)
424600,0.667,0.000,1.173,0.000,z3core.py:2506(Z3_sort_to_ast)
284000,0.436,0.000,0.759,0.000,z3core.py:1424(Z3_inc_ref)
284000,0.412,0.000,2.099,0.000,z3.py:307(__init__)
284000,0.411,0.000,0.731,0.000,z3core.py:1428(Z3_dec_ref)
284000,0.403,0.000,2.032,0.000,z3.py:312(__del__)
3679000,0.372,0.000,0.372,0.000,z3types.py:19(from_param)
991400,0.325,0.000,0.441,0.000,z3.py:362(ctx_ref)
424600,0.268,0.000,1.620,0.000,z3.py:513(as_ast)
2097900,0.248,0.000,0.248,0.000,z3.py:196(ref)
5600,0.200,0.000,2.196,0.000,z3.py:4805(CreateDatatypes)
110600,0.183,0.000,0.315,0.000,z3core.py:2746(Z3_get_sort)
108000,0.174,0.000,0.305,0.000,z3core.py:2616(Z3_func_decl_to_ast)
67400,0.115,0.000,0.196,0.000,z3core.py:2646(Z3_get_arity)
59400,0.114,0.000,0.185,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
809000,0.110,0.000,0.110,0.000,{built-in method builtins.isinstance}
50800,0.103,0.000,0.685,0.000,z3.py:366(eq)
9100,0.089,0.000,1.477,0.000,z3.py:755(__call__)
50800,0.088,0.000,0.149,0.000,z3core.py:2731(Z3_is_eq_ast)
19500,0.088,0.000,0.139,0.000,z3core.py:2136(Z3_mk_numeral)
33600,0.085,0.000,0.162,0.000,z3core.py:1531(Z3_mk_string_symbol)
883700,0.078,0.000,0.078,0.000,z3types.py:39(from_param)
5600,0.077,0.000,0.087,0.000,z3core.py:1614(Z3_mk_datatypes)
31400,0.076,0.000,0.116,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
48700,0.075,0.000,0.130,0.000,z3core.py:2516(Z3_get_sort_kind)
108000,0.072,0.000,0.422,0.000,z3.py:668(as_ast)
31400,0.071,0.000,0.604,0.000,z3.py:4912(constructor)
30300,0.069,0.000,0.107,0.000,z3core.py:2651(Z3_get_domain)
16800,0.068,0.000,0.898,0.000,z3.py:4959(accessor)
31600,0.067,0.000,0.144,0.000,z3core.py:2486(Z3_get_symbol_string)
46500,0.064,0.000,0.593,0.000,z3.py:3258(sort)
375300,0.063,0.000,0.067,0.000,z3.py:231(_get_ctx)
30300,0.061,0.000,0.754,0.000,z3.py:697(domain)
32100,0.060,0.000,1.762,0.000,z3.py:1106(_coerce_exprs)
16800,0.060,0.000,0.083,0.000,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
625900,0.058,0.000,0.058,0.000,z3types.py:31(from_param)
30300,0.056,0.000,0.433,0.000,z3.py:608(_to_sort_ref)
67400,0.055,0.000,0.283,0.000,z3.py:688(arity)
31600,0.053,0.000,0.091,0.000,z3core.py:2631(Z3_get_decl_name)
61800,0.052,0.000,0.283,0.000,z3.py:3228(cast)
381600,0.051,0.000,0.051,0.000,z3.py:94(_z3_assert)
23900,0.051,0.000,0.079,0.000,z3core.py:1556(Z3_mk_bv_sort)
68700,0.050,0.000,1.091,0.000,z3.py:1088(_coerce_expr_merge)
204500,0.050,0.000,0.077,0.000,z3.py:1135(is_expr)
59400,0.050,0.000,0.266,0.000,z3.py:4899(num_constructors)
18400,0.050,0.000,0.297,0.000,z3.py:1041(_to_expr_ref)
