ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
100,2001.894,20.019,2001.896,20.019,z3core.py:2946(Z3_simplify)
247440000,219.682,0.000,243.459,0.000,z3core.py:1382(Check)
76527600,119.430,0.000,210.065,0.000,z3core.py:2506(Z3_sort_to_ast)
48829200,74.667,0.000,129.613,0.000,z3core.py:1428(Z3_dec_ref)
48829200,74.473,0.000,129.937,0.000,z3core.py:1424(Z3_inc_ref)
48829200,67.730,0.000,318.966,0.000,z3.py:312(__del__)
48829200,67.213,0.000,320.001,0.000,z3.py:307(__init__)
494880000,49.785,0.000,49.785,0.000,z3types.py:19(from_param)
76527600,46.970,0.000,288.377,0.000,z3.py:513(as_ast)
6814600,46.317,0.000,64.363,0.000,z3core.py:2136(Z3_mk_numeral)
27477900,45.222,0.000,77.881,0.000,z3core.py:2746(Z3_get_sort)
124260000,39.048,0.000,52.999,0.000,z3.py:362(ctx_ref)
289413000,33.024,0.000,33.024,0.000,z3.py:196(ref)
20335300,27.751,0.000,259.370,0.000,z3.py:3258(sort)
13556800,23.632,0.000,624.122,0.000,z3.py:1106(_coerce_exprs)
27107300,22.517,0.000,161.336,0.000,z3.py:3228(cast)
10370900,20.806,0.000,138.270,0.000,z3.py:366(eq)
149432800,19.639,0.000,19.639,0.000,{built-in method builtins.isinstance}
3397000,18.671,0.000,485.240,0.000,z3.py:1268(If)
27150700,18.493,0.000,379.203,0.000,z3.py:1088(_coerce_expr_merge)
10370900,17.812,0.000,30.202,0.000,z3core.py:2731(Z3_is_eq_ast)
900,17.607,0.020,1243.322,1.381,utils.py:4(clz)
71468600,16.614,0.000,25.654,0.000,z3.py:1135(is_expr)
179936000,15.419,0.000,15.419,0.000,z3types.py:39(from_param)
6814600,13.441,0.000,127.109,0.000,z3.py:3777(BitVecVal)
95744100,11.678,0.000,11.678,0.000,z3.py:903(as_ast)
3397000,10.519,0.000,15.407,0.000,z3core.py:1681(Z3_mk_ite)
3363400,10.044,0.000,196.702,0.000,z3.py:4036(LShR)
3403000,9.288,0.000,196.455,0.000,z3.py:932(__eq__)
3472600,9.154,0.000,54.423,0.000,z3.py:1041(_to_expr_ref)
3363400,9.126,0.000,13.637,0.000,z3core.py:1951(Z3_mk_bvlshr)
3368500,9.044,0.000,13.566,0.000,z3core.py:1841(Z3_mk_bvadd)
3403000,9.024,0.000,13.592,0.000,z3core.py:1666(Z3_mk_eq)
6814600,8.906,0.000,12.488,0.000,z3.py:2960(_to_int_str)
3368500,8.664,0.000,249.822,0.000,z3.py:3280(__add__)
56221800,8.221,0.000,8.259,0.000,z3.py:231(_get_ctx)
88122100,8.054,0.000,8.054,0.000,z3types.py:31(from_param)
3420100,7.553,0.000,12.683,0.000,z3.py:455(_ctx_from_ast_arg_list)
3440200,6.992,0.000,126.991,0.000,z3.py:1392(cast)
46249500,6.440,0.000,6.440,0.000,z3.py:94(_z3_assert)
3474200,5.882,0.000,9.840,0.000,z3core.py:2761(Z3_get_ast_kind)
3403100,5.575,0.000,9.657,0.000,z3core.py:1541(Z3_mk_bool_sort)
49171300,5.302,0.000,5.302,0.000,z3.py:56(z3_debug)
3717000,5.295,0.000,9.269,0.000,z3core.py:2516(Z3_get_sort_kind)
20606700,5.019,0.000,7.547,0.000,z3.py:412(is_ast)
3477100,4.832,0.000,45.065,0.000,z3.py:1426(sort)
3403100,4.682,0.000,43.112,0.000,z3.py:1553(BoolSort)
7081600,3.880,0.000,7.171,0.000,z3core.py:69(_str_to_bytes)
3373200,3.004,0.000,5.360,0.000,z3.py:3904(_check_bv_args)
7081600,2.708,0.000,2.708,0.000,{method 'encode' of 'str' objects}
7092500,1.630,0.000,2.220,0.000,z3.py:64(_is_int)
44500,1.582,0.000,17.480,0.000,z3.py:4805(CreateDatatypes)
6814600,1.533,0.000,2.152,0.000,z3.py:3245(is_bv_sort)
856600,1.360,0.000,2.392,0.000,z3core.py:2616(Z3_func_decl_to_ast)
3425200,0.992,0.000,1.549,0.000,z3.py:3706(is_bv)
542100,0.921,0.000,1.561,0.000,z3core.py:2646(Z3_get_arity)
