ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
16944000,14.321,0.000,15.835,0.000,z3core.py:1382(Check)
4086000,6.165,0.000,10.778,0.000,z3core.py:2506(Z3_sort_to_ast)
2730000,3.832,0.000,18.706,0.000,z3.py:307(__init__)
2730000,3.832,0.000,6.695,0.000,z3core.py:1424(Z3_inc_ref)
2730000,3.798,0.000,18.340,0.000,z3.py:312(__del__)
2730000,3.763,0.000,6.598,0.000,z3core.py:1428(Z3_dec_ref)
33888000,3.116,0.000,3.116,0.000,z3types.py:19(from_param)
9012000,2.754,0.000,3.802,0.000,z3.py:362(ctx_ref)
4086000,2.527,0.000,14.957,0.000,z3.py:513(as_ast)
19403400,2.272,0.000,2.272,0.000,z3.py:196(ref)
1135500,1.833,0.000,3.142,0.000,z3core.py:2746(Z3_get_sort)
44500,1.545,0.000,16.676,0.000,z3.py:4805(CreateDatatypes)
856600,1.311,0.000,2.281,0.000,z3core.py:2616(Z3_func_decl_to_ast)
229000,1.047,0.000,1.650,0.000,z3core.py:2136(Z3_mk_numeral)
7842400,1.015,0.000,1.015,0.000,{built-in method builtins.isinstance}
492500,0.982,0.000,6.403,0.000,z3.py:366(eq)
542100,0.900,0.000,1.504,0.000,z3core.py:2646(Z3_get_arity)
472600,0.888,0.000,1.431,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
492500,0.845,0.000,1.405,0.000,z3core.py:2731(Z3_is_eq_ast)
578500,0.764,0.000,7.106,0.000,z3.py:3258(sort)
8710400,0.739,0.000,0.739,0.000,z3types.py:39(from_param)
75200,0.698,0.000,11.538,0.000,z3.py:755(__call__)
385600,0.695,0.000,18.760,0.000,z3.py:1106(_coerce_exprs)
764900,0.629,0.000,3.694,0.000,z3.py:3228(cast)
267000,0.625,0.000,1.201,0.000,z3core.py:1531(Z3_mk_string_symbol)
424200,0.616,0.000,1.065,0.000,z3core.py:2516(Z3_get_sort_kind)
250100,0.607,0.000,0.902,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
44500,0.589,0.000,0.668,0.000,z3core.py:1614(Z3_mk_datatypes)
808300,0.576,0.000,11.846,0.000,z3.py:1088(_coerce_expr_merge)
104200,0.560,0.000,14.767,0.000,z3.py:1268(If)
3537000,0.555,0.000,0.592,0.000,z3.py:231(_get_ctx)
244400,0.550,0.000,0.837,0.000,z3core.py:2651(Z3_get_domain)
250100,0.542,0.000,4.581,0.000,z3.py:4912(constructor)
2319800,0.534,0.000,0.832,0.000,z3.py:1135(is_expr)
856600,0.533,0.000,3.152,0.000,z3.py:668(as_ast)
5802100,0.533,0.000,0.533,0.000,z3types.py:31(from_param)
229000,0.523,0.000,5.021,0.000,z3.py:3777(BitVecVal)
253300,0.520,0.000,1.101,0.000,z3core.py:2486(Z3_get_symbol_string)
133500,0.517,0.000,6.769,0.000,z3.py:4959(accessor)
244400,0.485,0.000,5.816,0.000,z3.py:697(domain)
179800,0.469,0.000,2.750,0.000,z3.py:1041(_to_expr_ref)
133500,0.454,0.000,0.631,0.000,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
3443100,0.452,0.000,0.452,0.000,z3.py:94(_z3_assert)
244400,0.445,0.000,3.320,0.000,z3.py:608(_to_sort_ref)
542100,0.421,0.000,2.167,0.000,z3.py:688(arity)
195600,0.413,0.000,0.631,0.000,z3core.py:1556(Z3_mk_bv_sort)
253300,0.410,0.000,0.697,0.000,z3core.py:2631(Z3_get_decl_name)
3545700,0.402,0.000,0.402,0.000,z3.py:903(as_ast)
472600,0.381,0.000,2.031,0.000,z3.py:4899(num_constructors)
253300,0.359,0.000,0.623,0.000,z3core.py:2476(Z3_get_symbol_kind)
900,0.352,0.000,24.636,0.027,utils.py:4(clz)
3072100,0.338,0.000,0.338,0.000,z3.py:56(z3_debug)
253300,0.322,0.000,2.109,0.000,z3.py:116(_symbol2py)
267000,0.311,0.000,1.698,0.000,z3.py:109(to_symbol)
181400,0.311,0.000,0.512,0.000,z3core.py:2761(Z3_get_ast_kind)
104200,0.304,0.000,0.448,0.000,z3core.py:1681(Z3_mk_ite)
147400,0.293,0.000,5.199,0.000,z3.py:1392(cast)
110200,0.288,0.000,7.491,0.000,z3.py:932(__eq__)
75200,0.287,0.000,0.387,0.000,z3core.py:1627(Z3_mk_app)
110200,0.279,0.000,0.419,0.000,z3core.py:1666(Z3_mk_eq)
229000,0.278,0.000,0.398,0.000,z3.py:2960(_to_int_str)
253300,0.277,0.000,3.195,0.000,z3.py:677(name)
192900,0.273,0.000,2.430,0.000,z3.py:4990(sort)
496000,0.272,0.000,0.499,0.000,z3core.py:69(_str_to_bytes)
127300,0.267,0.000,0.443,0.000,z3.py:455(_ctx_from_ast_arg_list)
195600,0.267,0.000,2.502,0.000,z3.py:3763(BitVecSort)
150600,0.257,0.000,0.431,0.000,z3core.py:2636(Z3_get_decl_kind)
184300,0.248,0.000,2.279,0.000,z3.py:1426(sort)
106500,0.248,0.000,3.913,0.000,z3.py:543(cast)
162200,0.245,0.000,0.419,0.000,z3core.py:2521(Z3_get_bv_sort_size)
44500,0.239,0.000,0.316,0.000,z3core.py:1591(Z3_mk_constructor)
100,0.232,0.002,0.233,0.002,z3core.py:2946(Z3_simplify)
72100,0.225,0.000,6.531,0.000,sorts.py:21(sizes)
253600,0.218,0.000,0.306,0.000,z3core.py:83(_to_pystr)
70600,0.210,0.000,3.981,0.000,z3.py:4036(LShR)
849900,0.208,0.000,0.311,0.000,z3.py:412(is_ast)
2122200,0.197,0.000,0.197,0.000,z3types.py:35(from_param)
75700,0.195,0.000,0.292,0.000,z3core.py:1841(Z3_mk_bvadd)
75700,0.194,0.000,5.355,0.000,z3.py:3280(__add__)
44500,0.191,0.000,19.780,0.000,sorts.py:10(FloatSort)
110300,0.180,0.000,0.306,0.000,z3core.py:1541(Z3_mk_bool_sort)
70600,0.180,0.000,0.270,0.000,z3core.py:1951(Z3_mk_bvlshr)
75300,0.179,0.000,2.994,0.000,z3printer.py:1236(obj_to_string)
496000,0.178,0.000,0.178,0.000,{method 'encode' of 'str' objects}
42600,0.177,0.000,25.167,0.001,sorts.py:25(get_sort)
44500,0.160,0.000,0.222,0.000,z3core.py:2566(Z3_get_datatype_sort_recognizer)
