ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
14452000,12.219,0.000,13.505,0.000,z3core.py:1382(Check)
3302800,5.030,0.000,8.753,0.000,z3core.py:2506(Z3_sort_to_ast)
2231600,3.158,0.000,15.644,0.000,z3.py:307(__init__)
2231600,3.151,0.000,5.491,0.000,z3core.py:1424(Z3_inc_ref)
2231600,3.130,0.000,15.274,0.000,z3.py:312(__del__)
2231600,3.068,0.000,5.378,0.000,z3core.py:1428(Z3_dec_ref)
28904000,2.641,0.000,2.641,0.000,z3types.py:19(from_param)
7766000,2.394,0.000,3.291,0.000,z3.py:362(ctx_ref)
3302800,2.044,0.000,12.137,0.000,z3.py:513(as_ast)
16484200,1.919,0.000,1.919,0.000,z3.py:196(ref)
44500,1.542,0.000,16.653,0.000,z3.py:4805(CreateDatatypes)
850700,1.377,0.000,2.356,0.000,z3core.py:2746(Z3_get_sort)
856600,1.311,0.000,2.278,0.000,z3core.py:2616(Z3_func_decl_to_ast)
542100,0.898,0.000,1.502,0.000,z3core.py:2646(Z3_get_arity)
472600,0.892,0.000,1.433,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
6311600,0.815,0.000,0.815,0.000,{built-in method builtins.isinstance}
385700,0.770,0.000,5.025,0.000,z3.py:366(eq)
157800,0.704,0.000,1.116,0.000,z3core.py:2136(Z3_mk_numeral)
75200,0.692,0.000,11.507,0.000,z3.py:755(__call__)
385700,0.665,0.000,1.106,0.000,z3core.py:2731(Z3_is_eq_ast)
267000,0.618,0.000,1.195,0.000,z3core.py:1531(Z3_mk_string_symbol)
250100,0.605,0.000,0.899,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
6859200,0.585,0.000,0.585,0.000,z3types.py:39(from_param)
44500,0.582,0.000,0.661,0.000,z3core.py:1614(Z3_mk_datatypes)
388600,0.568,0.000,0.981,0.000,z3core.py:2516(Z3_get_sort_kind)
244400,0.549,0.000,0.834,0.000,z3core.py:2651(Z3_get_domain)
250100,0.545,0.000,4.593,0.000,z3.py:4912(constructor)
856600,0.538,0.000,3.153,0.000,z3.py:668(as_ast)
253300,0.516,0.000,1.097,0.000,z3core.py:2486(Z3_get_symbol_string)
133500,0.512,0.000,6.786,0.000,z3.py:4959(accessor)
244400,0.482,0.000,5.823,0.000,z3.py:697(domain)
364900,0.481,0.000,4.496,0.000,z3.py:3258(sort)
2967400,0.477,0.000,0.514,0.000,z3.py:231(_get_ctx)
133500,0.458,0.000,0.635,0.000,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
4912100,0.451,0.000,0.451,0.000,z3types.py:31(from_param)
243200,0.447,0.000,12.573,0.000,z3.py:1106(_coerce_exprs)
244400,0.444,0.000,3.329,0.000,z3.py:608(_to_sort_ref)
542100,0.426,0.000,2.172,0.000,z3.py:688(arity)
195600,0.411,0.000,0.630,0.000,z3core.py:1556(Z3_mk_bv_sort)
253300,0.409,0.000,0.696,0.000,z3core.py:2631(Z3_get_decl_name)
480100,0.398,0.000,2.166,0.000,z3.py:3228(cast)
2980300,0.394,0.000,0.394,0.000,z3.py:94(_z3_assert)
472600,0.384,0.000,2.037,0.000,z3.py:4899(num_constructors)
157800,0.381,0.000,3.870,0.000,z3.py:3777(BitVecVal)
523500,0.379,0.000,8.026,0.000,z3.py:1088(_coerce_expr_merge)
144200,0.378,0.000,2.211,0.000,z3.py:1041(_to_expr_ref)
1572200,0.363,0.000,0.567,0.000,z3.py:1135(is_expr)
68600,0.363,0.000,9.876,0.000,z3.py:1268(If)
