ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
43488000,38.458,0.000,42.533,0.000,z3core.py:1382(Check)
12428400,19.216,0.000,33.821,0.000,z3core.py:2506(Z3_sort_to_ast)
8038800,12.156,0.000,21.212,0.000,z3core.py:1424(Z3_inc_ref)
8038800,11.925,0.000,20.861,0.000,z3core.py:1428(Z3_dec_ref)
8038800,11.021,0.000,52.900,0.000,z3.py:312(__del__)
8038800,11.021,0.000,53.654,0.000,z3.py:307(__init__)
86976000,8.519,0.000,8.519,0.000,z3types.py:19(from_param)
12428400,7.507,0.000,46.409,0.000,z3.py:513(as_ast)
22284000,6.986,0.000,9.517,0.000,z3.py:362(ctx_ref)
4169100,6.779,0.000,11.686,0.000,z3core.py:2746(Z3_get_sort)
100,6.221,0.062,6.222,0.062,z3core.py:2946(Z3_simplify)
50497800,5.814,0.000,5.814,0.000,z3.py:196(ref)
987400,4.851,0.000,7.402,0.000,z3core.py:2136(Z3_mk_numeral)
2853700,3.860,0.000,36.049,0.000,z3.py:3258(sort)
1902400,3.331,0.000,86.530,0.000,z3.py:1106(_coerce_exprs)
1630100,3.270,0.000,21.628,0.000,z3.py:366(eq)
24148000,3.135,0.000,3.135,0.000,{built-in method builtins.isinstance}
3798500,3.101,0.000,20.065,0.000,z3.py:3228(cast)
1630100,2.799,0.000,4.733,0.000,z3core.py:2731(Z3_is_eq_ast)
483400,2.613,0.000,68.729,0.000,z3.py:1268(If)
3841900,2.562,0.000,53.989,0.000,z3.py:1088(_coerce_expr_merge)
28428800,2.419,0.000,2.419,0.000,z3types.py:39(from_param)
10283000,2.389,0.000,3.670,0.000,z3.py:1135(is_expr)
900,2.329,0.003,163.297,0.181,utils.py:4(clz)
987400,1.982,0.000,17.427,0.000,z3.py:3777(BitVecVal)
14163300,1.706,0.000,1.706,0.000,z3.py:903(as_ast)
44500,1.567,0.000,17.153,0.000,z3.py:4805(CreateDatatypes)
483400,1.457,0.000,2.142,0.000,z3core.py:1681(Z3_mk_ite)
559000,1.450,0.000,8.683,0.000,z3.py:1041(_to_expr_ref)
9604200,1.419,0.000,1.455,0.000,z3.py:231(_get_ctx)
15282100,1.377,0.000,1.377,0.000,z3types.py:31(from_param)
856600,1.356,0.000,2.379,0.000,z3core.py:2616(Z3_func_decl_to_ast)
449800,1.320,0.000,25.616,0.000,z3.py:4036(LShR)
489400,1.317,0.000,28.346,0.000,z3.py:932(__eq__)
489400,1.247,0.000,1.897,0.000,z3core.py:1666(Z3_mk_eq)
454900,1.218,0.000,1.822,0.000,z3core.py:1841(Z3_mk_bvadd)
454900,1.175,0.000,33.327,0.000,z3.py:3280(__add__)
449800,1.168,0.000,1.763,0.000,z3core.py:1951(Z3_mk_bvlshr)
803400,1.163,0.000,2.030,0.000,z3core.py:2516(Z3_get_sort_kind)
987400,1.155,0.000,1.661,0.000,z3.py:2960(_to_int_str)
8372700,1.112,0.000,1.112,0.000,z3.py:94(_z3_assert)
506500,1.103,0.000,1.834,0.000,z3.py:455(_ctx_from_ast_arg_list)
526600,1.062,0.000,19.221,0.000,z3.py:1392(cast)
560600,0.946,0.000,1.584,0.000,z3core.py:2761(Z3_get_ast_kind)
542100,0.915,0.000,1.551,0.000,z3core.py:2646(Z3_get_arity)
472600,0.897,0.000,1.459,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
8380900,0.885,0.000,0.885,0.000,z3.py:56(z3_debug)
489500,0.793,0.000,1.372,0.000,z3core.py:1541(Z3_mk_bool_sort)
563500,0.773,0.000,7.237,0.000,z3.py:1426(sort)
3125100,0.751,0.000,1.133,0.000,z3.py:412(is_ast)
75200,0.713,0.000,11.747,0.000,z3.py:755(__call__)
1254400,0.687,0.000,1.264,0.000,z3core.py:69(_str_to_bytes)
267000,0.666,0.000,1.274,0.000,z3core.py:1531(Z3_mk_string_symbol)
489500,0.666,0.000,6.145,0.000,z3.py:1553(BoolSort)
44500,0.610,0.000,0.688,0.000,z3core.py:1614(Z3_mk_datatypes)
250100,0.592,0.000,0.904,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
856600,0.553,0.000,3.280,0.000,z3.py:668(as_ast)
250100,0.553,0.000,4.713,0.000,z3.py:4912(constructor)
