ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0,0,3014,3014,operations.py:48(add)
1,0,0,3014,3014,api.py:154(add)
1,0,0,2862,2862,packing.py:69(pack)
1,48,48,2843,2843,utils.py:4(clz)
33163,62,0,1406,0,z3.py:1106(_coerce_exprs)
8297,51,0,1115,0,z3.py:1268(If)
66421,49,0,860,0,z3.py:1088(_coerce_expr_merge)
119596,163,0,704,0,z3.py:307(__init__)
119595,162,0,699,0,z3.py:312(__del__)
187200,122,0,624,0,z3.py:513(as_ast)
49734,71,0,577,0,z3.py:3258(sort)
8255,23,0,571,0,z3.py:3280(__add__)
606714,422,0,476,0,z3core.py:1382(Check)
8249,26,0,448,0,z3.py:4036(LShR)
8328,23,0,429,0,z3.py:932(__eq__)
187200,241,0,423,0,z3core.py:2506(Z3_sort_to_ast)
66343,58,0,352,0,z3.py:3228(cast)
25342,55,0,318,0,z3.py:366(eq)
8407,19,0,291,0,z3.py:1392(cast)
119595,155,0,271,0,z3core.py:1428(Z3_dec_ref)
119596,154,0,267,0,z3core.py:1424(Z3_inc_ref)
16653,34,0,262,0,z3.py:3777(BitVecVal)
67194,92,0,160,0,z3core.py:2746(Z3_get_sort)
304741,102,0,137,0,z3.py:362(ctx_ref)
8508,24,0,123,0,z3.py:1041(_to_expr_ref)
16653,84,0,121,0,z3core.py:2136(Z3_mk_numeral)
1213428,114,0,114,0,z3types.py:19(from_param)
8502,13,0,100,0,z3.py:1426(sort)
8312,12,0,93,0,z3.py:1553(BoolSort)
9,0,0,90,10,predicates.py:14(is_zero)
709535,83,0,83,0,z3.py:196(ref)
118,1,0,71,1,sorts.py:25(get_sort)
18,0,0,69,4,predicates.py:4(eq_bitwise)
25342,42,0,68,0,z3core.py:2731(Z3_is_eq_ast)
174886,44,0,64,0,z3.py:1135(is_expr)
2,0,0,58,29,predicates.py:84(gt)
121,1,0,55,0,sorts.py:10(FloatSort)
2,0,0,54,27,packing.py:8(unpack)
121,0,0,48,0,z3.py:4771(create)
366207,46,0,46,0,{built-in method builtins.isinstance}
121,5,0,46,0,z3.py:4805(CreateDatatypes)
9,0,0,46,5,predicates.py:8(is_pos_zero)
9,0,0,43,5,predicates.py:11(is_neg_zero)
440383,41,0,41,0,z3types.py:39(from_param)
36,0,0,40,1,conversions.py:4(to_ieee_bv)
8297,27,0,37,0,z3core.py:1681(Z3_mk_ite)
211,2,0,35,0,z3.py:755(__call__)
8355,21,0,34,0,z3.py:455(_ctx_from_ast_arg_list)
8255,21,0,30,0,z3core.py:1841(Z3_mk_bvadd)
8249,20,0,30,0,z3core.py:1951(Z3_mk_bvlshr)
21,0,0,30,1,sorts.py:29(ensure_eq_sort)
234215,29,0,29,0,z3.py:903(as_ast)
8328,20,0,29,0,z3core.py:1666(Z3_mk_eq)
16653,19,0,28,0,z3.py:2960(_to_int_str)
137707,21,0,21,0,z3.py:231(_get_ctx)
8508,13,0,21,0,z3core.py:2761(Z3_get_ast_kind)
9167,12,0,21,0,z3core.py:2516(Z3_get_sort_kind)
215869,20,0,20,0,z3types.py:31(from_param)
50343,13,0,19,0,z3.py:412(is_ast)
8312,11,0,18,0,z3core.py:1541(Z3_mk_bool_sort)
17379,10,0,18,0,z3core.py:69(_str_to_bytes)
363,2,0,18,0,z3.py:4959(accessor)
193,1,0,17,0,sorts.py:21(sizes)
113526,16,0,16,0,z3.py:94(_z3_assert)
120573,16,0,16,0,z3.py:56(z3_debug)
659,2,0,16,0,z3.py:697(domain)
8263,8,0,14,0,z3.py:3904(_check_bv_args)
677,2,0,12,0,z3.py:4912(constructor)
1,0,0,11,11,operations.py:16(__add_core)
256,1,0,10,0,z3.py:543(cast)
211,1,0,10,0,z3printer.py:1236(obj_to_string)
211,0,0,10,0,z3.py:320(__str__)
6,0,0,10,2,predicates.py:36(is_nan)
1,0,0,10,10,packing.py:38(round)
659,2,0,9,0,z3.py:608(_to_sort_ref)
695,1,0,9,0,z3.py:677(name)
2322,2,0,8,0,z3.py:668(as_ast)
18,0,0,8,0,constructors.py:22(FloatVal)
18,0,0,8,0,constructors.py:46(FloatValZero)
211,0,0,7,0,z3printer.py:1106(main)
211,0,0,7,0,z3printer.py:1132(__call__)
4,0,0,7,2,operations.py:4(abs)
4,0,0,7,2,z3.py:3625(__lshift__)
17379,6,0,6,0,{method 'encode' of 'str' objects}
17394,4,0,6,0,z3.py:64(_is_int)
16653,4,0,6,0,z3.py:3245(is_bv_sort)
2322,3,0,6,0,z3core.py:2616(Z3_func_decl_to_ast)
1475,1,0,6,0,z3.py:688(arity)
695,1,0,6,0,z3.py:116(_symbol2py)
480,1,0,6,0,z3.py:3763(BitVecSort)
450,1,0,6,0,z3.py:4990(sort)
211,0,0,6,0,z3printer.py:1013(pp_decl)
43,0,0,6,0,z3.py:1124(_coerce_expr_list)
1282,1,0,5,0,z3.py:4899(num_constructors)
726,1,0,5,0,z3.py:109(to_symbol)
211,0,0,5,0,z3printer.py:539(pp_name)
25,0,0,5,0,z3.py:1700(And)
8396,3,0,4,0,z3.py:3706(is_bv)
1475,2,0,4,0,z3core.py:2646(Z3_get_arity)
211,0,0,4,0,z3printer.py:216(_op_name)
8,0,0,4,0,z3.py:3959(UGT)
1282,2,0,3,0,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
695,1,0,3,0,z3core.py:2486(Z3_get_symbol_string)
726,1,0,3,0,z3core.py:1531(Z3_mk_string_symbol)
18,0,0,3,0,z3.py:1732(Or)
43,0,0,3,0,z3.py:1133(<listcomp>)
2,0,0,3,1,predicates.py:53(is_subnormal)
2,0,0,3,1,predicates.py:20(is_inf)
13,0,0,3,0,constructors.py:8(FloatVar)
121,2,0,2,0,z3core.py:1614(Z3_mk_datatypes)
677,1,0,2,0,z3core.py:2561(Z3_get_datatype_sort_constructor)
659,1,0,2,0,z3core.py:2651(Z3_get_domain)
695,1,0,2,0,z3core.py:2631(Z3_get_decl_name)
695,1,0,2,0,z3core.py:2476(Z3_get_symbol_kind)
659,1,0,2,0,z3.py:508(_sort_kind)
42,0,0,2,0,z3.py:3836(Concat)
121,0,0,2,0,z3.py:4741(declare_core)
121,0,0,2,0,z3.py:4748(declare)
406,0,0,2,0,z3.py:3216(size)
211,0,0,2,0,z3printer.py:509(__call__)
422,0,0,2,0,z3.py:719(kind)
121,0,0,2,0,z3.py:4931(recognizer)
43,0,0,2,0,z3.py:1118(_reduce)
1,0,0,2,2,operations.py:8(neg)
363,1,0,1,0,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
480,1,0,1,0,z3core.py:1556(Z3_mk_bv_sort)
211,1,0,1,0,z3core.py:1627(Z3_mk_app)
695,1,0,1,0,z3core.py:83(_to_pystr)
121,1,0,1,0,z3core.py:1591(Z3_mk_constructor)
422,1,0,1,0,z3core.py:2636(Z3_get_decl_kind)
5784,1,0,1,0,z3types.py:35(from_param)
406,1,0,1,0,z3core.py:2521(Z3_get_bv_sort_size)
417,1,0,1,0,z3.py:126(_get_args)
363,1,0,1,0,z3.py:4701(_valid_accessor)
211,0,0,1,0,z3printer.py:460(pp_string)
211,0,0,1,0,z3printer.py:387(to_format)
121,0,0,1,0,z3core.py:2566(Z3_get_datatype_sort_recognizer)
211,0,0,1,0,z3printer.py:493(pp)
121,0,0,1,0,z3.py:4801(__del__)
121,0,0,1,0,z3.py:4745(<listcomp>)
121,0,0,1,0,z3.py:4792(__del__)
15,0,0,1,0,z3.py:1669(Not)
9,0,0,1,0,z3.py:3326(__sub__)
20,0,0,1,0,z3.py:3269(size)
2408,0,0,0,0,{built-in method builtins.len}
605,0,0,0,0,{built-in method builtins.setattr}
937,0,0,0,0,z3.py:596(is_sort)
211,0,0,0,0,z3printer.py:410(_len)
121,0,0,0,0,z3core.py:1605(Z3_mk_constructor_list)
121,0,0,0,0,z3core.py:1596(Z3_del_constructor)
44,0,0,0,0,z3.py:478(_to_ast_array)
78,0,0,0,0,z3core.py:1921(Z3_mk_concat)
121,0,0,0,0,z3core.py:1610(Z3_del_constructor_list)
695,0,0,0,0,{method 'decode' of 'bytes' objects}
1632,0,0,0,0,z3types.py:27(from_param)
601,0,0,0,0,z3.py:211(main_ctx)
211,0,0,0,0,z3printer.py:373(__init__)
757,0,0,0,0,{method 'append' of 'list' objects}
526,0,0,0,0,{built-in method builtins.all}
121,0,0,0,0,z3.py:4731(__init__)
25,0,0,0,0,z3core.py:1701(Z3_mk_and)
211,0,0,0,0,{method 'get' of 'dict' objects}
211,0,0,0,0,{method 'getvalue' of '_io.StringIO' objects}
11,0,0,0,0,z3core.py:1846(Z3_mk_bvsub)
2,0,0,0,0,z3core.py:1991(Z3_mk_bvadd_no_overflow)
211,0,0,0,0,z3.py:787(is_func_decl)
5,0,0,0,0,z3core.py:1946(Z3_mk_bvshl)
121,0,0,0,0,z3.py:4836(<listcomp>)
10,0,0,0,0,z3core.py:1936(Z3_mk_zero_ext)
18,0,0,0,0,z3core.py:1706(Z3_mk_or)
8,0,0,0,0,z3core.py:1911(Z3_mk_bvugt)
121,0,0,0,0,z3.py:4835(<listcomp>)
121,0,0,0,0,z3.py:4789(__init__)
211,0,0,0,0,{method 'write' of '_io.StringIO' objects}
1,0,0,0,0,z3core.py:1836(Z3_mk_bvneg)
121,0,0,0,0,z3.py:4837(<listcomp>)
42,0,0,0,0,z3.py:3875(<listcomp>)
211,0,0,0,0,{built-in method builtins.getattr}
111,0,0,0,0,z3.py:8085(is_probe)
1,0,0,0,0,z3core.py:1806(Z3_mk_bvand)
121,0,0,0,0,z3.py:4798(__init__)
43,0,0,0,0,z3.py:1693(_has_probe)
1,0,0,0,0,z3core.py:1916(Z3_mk_bvsgt)
1,0,0,0,0,z3core.py:1901(Z3_mk_bvuge)
10,0,0,0,0,z3.py:4126(ZeroExt)
211,0,0,0,0,z3printer.py:376(is_string)
1,0,0,0,0,z3core.py:1811(Z3_mk_bvor)
211,0,0,0,0,z3printer.py:142(u)
15,0,0,0,0,z3core.py:1676(Z3_mk_not)
42,0,0,0,0,z3.py:10335(is_re)
121,0,0,0,0,z3types.py:59(from_param)
44,0,0,0,0,z3.py:10080(is_seq)
121,0,0,0,0,z3types.py:55(from_param)
2,0,0,0,0,z3.py:3339(__rsub__)
1,0,0,0,0,z3.py:4097(SignExt)
2,0,0,0,0,z3.py:3881(Extract)
2,0,0,0,0,z3core.py:1926(Z3_mk_extract)
2,0,0,0,0,z3core.py:1881(Z3_mk_bvult)
2,0,0,0,0,utils.py:17(matched_sizes)
2,0,0,0,0,z3.py:4188(BVAddNoOverflow)
2,0,0,0,0,z3.py:3925(ULT)
1,0,0,0,0,z3.py:3563(__gt__)
1,0,0,0,0,z3.py:3942(UGE)
1,0,0,0,0,z3core.py:1866(Z3_mk_bvurem)
1,0,0,0,0,utils.py:21(match_sizes)
1,0,0,0,0,z3core.py:1931(Z3_mk_sign_ext)
1,0,0,0,0,z3.py:3996(URem)
2,0,0,0,0,{built-in method builtins.max}
1,0,0,0,0,z3core.py:1671(Z3_mk_distinct)
6,0,0,0,0,utils.py:18(<genexpr>)
1,0,0,0,0,z3.py:953(__ne__)
1,0,0,0,0,z3.py:3372(__and__)
1,0,0,0,0,z3.py:3349(__or__)
1,0,0,0,0,z3.py:3653(__rlshift__)
1,0,0,0,0,z3.py:3427(__neg__)
1,0,0,0,0,utils.py:23(<listcomp>)
2,0,0,0,0,utils.py:19(<listcomp>)
1,0,0,0,0,{method 'disable' of '_lsprof.Profiler' objects}
1,0,0,0,0,utils.py:22(<listcomp>)
1,0,0,0,0,api.py:12(__init__)
