ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
4427221700,3892.846,0.000,4315.316,0.000,z3core.py:1382(Check)
100,2322.389,23.224,2322.390,23.224,z3core.py:2946(Z3_simplify)
1341336200,2065.678,0.000,3639.195,0.000,z3core.py:2506(Z3_sort_to_ast)
858992100,1296.812,0.000,2254.924,0.000,z3core.py:1428(Z3_dec_ref)
858992100,1291.577,0.000,2258.030,0.000,z3core.py:1424(Z3_inc_ref)
858992100,1198.569,0.000,5609.430,0.000,z3.py:312(__del__)
858992100,1169.955,0.000,5610.865,0.000,z3.py:307(__init__)
8854443400,884.677,0.000,884.677,0.000,z3types.py:19(from_param)
1341336200,821.809,0.000,5005.892,0.000,z3.py:513(as_ast)
473891600,768.719,0.000,1327.275,0.000,z3core.py:2746(Z3_get_sort)
2235496200,699.295,0.000,949.665,0.000,z3.py:362(ctx_ref)
116210900,619.969,0.000,921.490,0.000,z3core.py:2136(Z3_mk_numeral)
5168316800,594.255,0.000,594.255,0.000,z3.py:196(ref)
344517300,468.247,0.000,4356.111,0.000,z3.py:3258(sort)
229780000,407.293,0.000,10370.831,0.000,z3.py:1106(_coerce_exprs)
459395800,383.015,0.000,2530.047,0.000,z3.py:3228(cast)
180377500,356.661,0.000,2382.444,0.000,z3.py:366(eq)
2617954800,346.170,0.000,346.170,0.000,{built-in method builtins.isinstance}
461149500,317.090,0.000,6409.461,0.000,z3.py:1088(_coerce_expr_merge)
57662000,310.871,0.000,8195.268,0.000,z3.py:1268(If)
180377500,306.850,0.000,521.074,0.000,z3core.py:2731(Z3_is_eq_ast)
31000,294.175,0.009,20733.908,0.669,utils.py:4(clz)
1218433900,286.013,0.000,443.868,0.000,z3.py:1135(is_expr)
3133396600,268.983,0.000,268.983,0.000,z3types.py:39(from_param)
116210900,226.968,0.000,1994.553,0.000,z3.py:3777(BitVecVal)
1641760200,201.057,0.000,201.057,0.000,z3.py:903(as_ast)
57662000,180.986,0.000,263.403,0.000,z3core.py:1681(Z3_mk_ite)
56530900,165.951,0.000,3269.088,0.000,z3.py:4036(LShR)
60740300,159.112,0.000,951.212,0.000,z3.py:1041(_to_expr_ref)
58057400,157.824,0.000,3273.893,0.000,z3.py:932(__eq__)
56705000,156.929,0.000,232.498,0.000,z3core.py:1841(Z3_mk_bvadd)
58057400,153.733,0.000,231.714,0.000,z3core.py:1666(Z3_mk_eq)
56530900,151.560,0.000,228.375,0.000,z3core.py:1951(Z3_mk_bvlshr)
56705000,147.846,0.000,4173.229,0.000,z3.py:3280(__add__)
997919400,147.147,0.000,148.591,0.000,z3.py:231(_get_ctx)
1570693300,142.321,0.000,142.321,0.000,z3types.py:31(from_param)
116210900,142.181,0.000,203.142,0.000,z3.py:2960(_to_int_str)
58632900,131.579,0.000,217.908,0.000,z3.py:455(_ctx_from_ast_arg_list)
59504700,121.689,0.000,2180.181,0.000,z3.py:1392(cast)
834267800,114.687,0.000,114.687,0.000,z3.py:94(_z3_assert)
60741900,103.160,0.000,172.485,0.000,z3core.py:2761(Z3_get_ast_kind)
70566600,101.758,0.000,176.982,0.000,z3core.py:2516(Z3_get_sort_kind)
57915200,94.552,0.000,163.987,0.000,z3core.py:1541(Z3_mk_bool_sort)
873108100,94.159,0.000,94.159,0.000,z3.py:56(z3_debug)
355207800,86.302,0.000,129.624,0.000,z3.py:412(is_ast)
61094200,85.074,0.000,781.804,0.000,z3.py:1426(sort)
57915200,81.263,0.000,725.418,0.000,z3.py:1553(BoolSort)
126961700,68.730,0.000,126.579,0.000,z3core.py:69(_str_to_bytes)
1791800,62.933,0.000,684.587,0.000,z3.py:4805(CreateDatatypes)
34458400,53.958,0.000,94.708,0.000,z3core.py:2616(Z3_func_decl_to_ast)
56865400,49.939,0.000,89.017,0.000,z3.py:3904(_check_bv_args)
126961700,47.301,0.000,47.301,0.000,{method 'encode' of 'str' objects}
21863200,36.852,0.000,62.363,0.000,z3core.py:2646(Z3_get_arity)
19020800,35.400,0.000,57.846,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
127298300,29.223,0.000,40.325,0.000,z3.py:64(_is_int)
3077900,28.817,0.000,479.465,0.000,z3.py:755(__call__)
10750800,26.580,0.000,50.995,0.000,z3core.py:1531(Z3_mk_string_symbol)
116210900,26.456,0.000,37.173,0.000,z3.py:3245(is_bv_sort)
10061800,23.330,0.000,35.792,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
1791800,23.128,0.000,26.231,0.000,z3core.py:1614(Z3_mk_datatypes)
34458400,22.327,0.000,130.874,0.000,z3.py:668(as_ast)
10061800,22.211,0.000,188.153,0.000,z3.py:4912(constructor)
9826300,21.817,0.000,34.000,0.000,z3core.py:2651(Z3_get_domain)
5375400,21.299,0.000,279.506,0.000,z3.py:4959(accessor)
10245200,21.003,0.000,45.251,0.000,z3core.py:2486(Z3_get_symbol_string)
