ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
258953300,217.332,0.000,240.420,0.000,z3core.py:1382(Check)
60422600,90.655,0.000,158.245,0.000,z3core.py:2506(Z3_sort_to_ast)
40715700,57.529,0.000,280.342,0.000,z3.py:307(__init__)
40715700,56.461,0.000,98.768,0.000,z3core.py:1424(Z3_inc_ref)
40715700,56.406,0.000,274.571,0.000,z3.py:312(__del__)
40715700,55.776,0.000,97.994,0.000,z3core.py:1428(Z3_dec_ref)
517906600,47.369,0.000,47.369,0.000,z3types.py:19(from_param)
138641400,42.685,0.000,58.510,0.000,z3.py:362(ctx_ref)
60422600,37.175,0.000,219.822,0.000,z3.py:513(as_ast)
295870400,34.294,0.000,34.294,0.000,z3.py:196(ref)
16163600,25.866,0.000,44.488,0.000,z3core.py:2746(Z3_get_sort)
750200,25.752,0.000,279.470,0.000,z3.py:4805(CreateDatatypes)
14428000,21.929,0.000,38.072,0.000,z3core.py:2616(Z3_func_decl_to_ast)
9152800,15.062,0.000,25.201,0.000,z3core.py:2646(Z3_get_arity)
116504400,14.978,0.000,14.978,0.000,{built-in method builtins.isinstance}
7964000,14.825,0.000,23.880,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
7179100,14.391,0.000,93.002,0.000,z3.py:366(eq)
3094100,14.107,0.000,22.259,0.000,z3core.py:2136(Z3_mk_numeral)
7179100,12.272,0.000,20.434,0.000,z3core.py:2731(Z3_is_eq_ast)
1287500,11.984,0.000,195.568,0.000,z3.py:755(__call__)
127303000,10.833,0.000,10.833,0.000,z3types.py:39(from_param)
4501200,10.405,0.000,20.156,0.000,z3core.py:1531(Z3_mk_string_symbol)
750200,10.316,0.000,11.660,0.000,z3core.py:1614(Z3_mk_datatypes)
4213000,10.103,0.000,15.031,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
7557300,9.878,0.000,92.394,0.000,z3.py:3258(sort)
6763800,9.714,0.000,16.825,0.000,z3core.py:2516(Z3_get_sort_kind)
4213000,9.169,0.000,76.590,0.000,z3.py:4912(constructor)
5081200,9.168,0.000,250.016,0.000,z3.py:1106(_coerce_exprs)
4114300,9.147,0.000,13.898,0.000,z3core.py:2651(Z3_get_domain)
14428000,9.060,0.000,52.777,0.000,z3.py:668(as_ast)
4288400,8.721,0.000,18.477,0.000,z3core.py:2486(Z3_get_symbol_string)
2250600,8.644,0.000,113.510,0.000,z3.py:4959(accessor)
53323800,8.391,0.000,8.998,0.000,z3.py:231(_get_ctx)
10091800,8.299,0.000,47.849,0.000,z3.py:3228(cast)
4114300,8.104,0.000,97.205,0.000,z3.py:697(domain)
88110100,8.059,0.000,8.059,0.000,z3types.py:31(from_param)
2250600,7.618,0.000,10.589,0.000,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
10826700,7.604,0.000,160.118,0.000,z3.py:1088(_coerce_expr_merge)
4114300,7.453,0.000,55.404,0.000,z3.py:608(_to_sort_ref)
1361600,7.272,0.000,193.598,0.000,z3.py:1268(If)
31733500,7.257,0.000,11.346,0.000,z3.py:1135(is_expr)
9152800,7.210,0.000,36.517,0.000,z3.py:688(arity)
3094100,7.175,0.000,69.755,0.000,z3.py:3777(BitVecVal)
53147000,6.942,0.000,6.942,0.000,z3.py:94(_z3_assert)
2649500,6.894,0.000,40.302,0.000,z3.py:1041(_to_expr_ref)
4288400,6.863,0.000,11.688,0.000,z3core.py:2631(Z3_get_decl_name)
3186400,6.638,0.000,10.162,0.000,z3core.py:1556(Z3_mk_bv_sort)
7964000,6.380,0.000,33.949,0.000,z3.py:4899(num_constructors)
4288400,6.043,0.000,10.500,0.000,z3core.py:2476(Z3_get_symbol_kind)
49512600,5.612,0.000,5.612,0.000,z3.py:903(as_ast)
4288400,5.377,0.000,35.414,0.000,z3.py:116(_symbol2py)
4501200,5.224,0.000,28.482,0.000,z3.py:109(to_symbol)
46623700,5.154,0.000,5.154,0.000,z3.py:56(z3_debug)
1287500,4.900,0.000,6.606,0.000,z3core.py:1627(Z3_mk_app)
4288400,4.720,0.000,53.712,0.000,z3.py:677(name)
2651100,4.496,0.000,7.444,0.000,z3core.py:2761(Z3_get_ast_kind)
13000,4.434,0.000,307.290,0.024,utils.py:4(clz)
3161000,4.424,0.000,39.500,0.000,z3.py:4990(sort)
2575200,4.338,0.000,7.298,0.000,z3core.py:2636(Z3_get_decl_kind)
3186400,4.329,0.000,40.387,0.000,z3.py:3763(BitVecSort)
7595300,4.197,0.000,7.688,0.000,z3core.py:69(_str_to_bytes)
2131500,4.186,0.000,75.110,0.000,z3.py:1392(cast)
1760500,4.094,0.000,64.192,0.000,z3.py:543(cast)
1361600,4.061,0.000,5.970,0.000,z3core.py:1681(Z3_mk_ite)
1526600,3.999,0.000,106.214,0.000,z3.py:932(__eq__)
2651800,3.977,0.000,6.814,0.000,z3core.py:2521(Z3_get_bv_sort_size)
1526600,3.923,0.000,5.872,0.000,z3core.py:1666(Z3_mk_eq)
2795800,3.787,0.000,34.564,0.000,z3.py:1426(sort)
750200,3.771,0.000,4.898,0.000,z3core.py:1591(Z3_mk_constructor)
1212200,3.731,0.000,108.827,0.000,sorts.py:21(sizes)
3094100,3.709,0.000,5.318,0.000,z3.py:2960(_to_int_str)
4288700,3.650,0.000,5.117,0.000,z3core.py:83(_to_pystr)
1767300,3.644,0.000,5.995,0.000,z3.py:455(_ctx_from_ast_arg_list)
35846200,3.312,0.000,3.312,0.000,z3types.py:35(from_param)
750200,3.166,0.000,331.225,0.000,sorts.py:10(FloatSort)
1287600,3.034,0.000,50.064,0.000,z3printer.py:1236(obj_to_string)
726300,2.981,0.000,425.918,0.001,sorts.py:25(get_sort)
