ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
119282500,100.813,0.000,111.483,0.000,z3core.py:1382(Check)
26230600,39.724,0.000,69.308,0.000,z3core.py:2506(Z3_sort_to_ast)
17907300,25.556,0.000,126.892,0.000,z3.py:307(__init__)
17907300,25.126,0.000,43.849,0.000,z3core.py:1424(Z3_inc_ref)
17907300,25.043,0.000,123.390,0.000,z3.py:312(__del__)
17907300,24.382,0.000,42.979,0.000,z3core.py:1428(Z3_dec_ref)
238565000,21.834,0.000,21.834,0.000,z3types.py:19(from_param)
64565800,19.897,0.000,27.257,0.000,z3.py:362(ctx_ref)
26230600,16.248,0.000,96.130,0.000,z3.py:513(as_ast)
135716800,15.677,0.000,15.677,0.000,z3.py:196(ref)
403000,13.893,0.000,150.512,0.000,z3.py:4805(CreateDatatypes)
7751200,11.848,0.000,20.605,0.000,z3core.py:2616(Z3_func_decl_to_ast)
6416400,10.366,0.000,17.787,0.000,z3core.py:2746(Z3_get_sort)
4916000,8.090,0.000,13.573,0.000,z3core.py:2646(Z3_get_arity)
4278400,8.051,0.000,12.946,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
50392400,6.532,0.000,6.532,0.000,{built-in method builtins.isinstance}
690700,6.381,0.000,105.263,0.000,z3.py:755(__call__)
3007100,6.066,0.000,39.197,0.000,z3.py:366(eq)
2418000,5.633,0.000,10.886,0.000,z3core.py:1531(Z3_mk_string_symbol)
2263400,5.434,0.000,8.090,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
403000,5.230,0.000,5.948,0.000,z3core.py:1614(Z3_mk_datatypes)
3007100,5.178,0.000,8.599,0.000,z3core.py:2731(Z3_is_eq_ast)
2210300,4.967,0.000,7.540,0.000,z3core.py:2651(Z3_get_domain)
2263400,4.958,0.000,41.442,0.000,z3.py:4912(constructor)
1095700,4.860,0.000,7.751,0.000,z3core.py:2136(Z3_mk_numeral)
3349800,4.853,0.000,8.394,0.000,z3core.py:2516(Z3_get_sort_kind)
7751200,4.843,0.000,28.472,0.000,z3.py:668(as_ast)
2302800,4.696,0.000,9.958,0.000,z3core.py:2486(Z3_get_symbol_string)
1209000,4.662,0.000,61.345,0.000,z3.py:4959(accessor)
53659000,4.599,0.000,4.599,0.000,z3types.py:39(from_param)
