ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
734611800,647.938,0.000,717.826,0.000,z3core.py:1382(Check)
197784600,306.665,0.000,539.313,0.000,z3core.py:2506(Z3_sort_to_ast)
129440200,195.544,0.000,341.154,0.000,z3core.py:1424(Z3_inc_ref)
129440200,191.045,0.000,334.963,0.000,z3core.py:1428(Z3_dec_ref)
129440200,181.786,0.000,873.230,0.000,z3.py:312(__del__)
129440200,180.389,0.000,885.399,0.000,z3.py:307(__init__)
1469223600,146.649,0.000,146.649,0.000,z3types.py:19(from_param)
197784600,122.263,0.000,742.765,0.000,z3.py:513(as_ast)
381770900,121.235,0.000,164.670,0.000,z3.py:362(ctx_ref)
62755600,102.657,0.000,176.995,0.000,z3core.py:2746(Z3_get_sort)
848744400,98.563,0.000,98.563,0.000,z3.py:196(ref)
14194100,65.269,0.000,101.831,0.000,z3core.py:2136(Z3_mk_numeral)
39861300,54.164,0.000,505.560,0.000,z3.py:3258(sort)
25297100,51.267,0.000,337.372,0.000,z3.py:366(eq)
384087400,50.971,0.000,50.971,0.000,{built-in method builtins.isinstance}
26641700,48.185,0.000,1237.443,0.000,z3.py:1106(_coerce_exprs)
53173800,44.430,0.000,275.427,0.000,z3.py:3228(cast)
25297100,43.433,0.000,73.630,0.000,z3core.py:2731(Z3_is_eq_ast)
1184200,41.600,0.000,454.971,0.000,z3.py:4805(CreateDatatypes)
443010000,38.339,0.000,38.339,0.000,z3types.py:39(from_param)
54333200,38.239,0.000,778.635,0.000,z3.py:1088(_coerce_expr_merge)
6804100,36.674,0.000,979.202,0.000,z3.py:1268(If)
22774000,35.855,0.000,62.824,0.000,z3core.py:2616(Z3_func_decl_to_ast)
147856000,35.437,0.000,54.633,0.000,z3.py:1135(is_expr)
20500,31.136,0.002,2208.637,0.108,utils.py:4(clz)
14194100,29.547,0.000,261.172,0.000,z3.py:3777(BitVecVal)
208501100,25.810,0.000,25.810,0.000,z3.py:903(as_ast)
158649300,24.737,0.000,25.694,0.000,z3.py:231(_get_ctx)
14448800,24.448,0.000,41.355,0.000,z3core.py:2646(Z3_get_arity)
12571000,23.675,0.000,38.561,0.000,z3core.py:2556(Z3_get_datatype_sort_num_constructors)
8838000,23.521,0.000,139.412,0.000,z3.py:1041(_to_expr_ref)
255453100,23.215,0.000,23.215,0.000,z3types.py:31(from_param)
15332300,22.699,0.000,39.397,0.000,z3core.py:2516(Z3_get_sort_kind)
6804100,20.932,0.000,30.811,0.000,z3core.py:1681(Z3_mk_ite)
144406000,19.521,0.000,19.521,0.000,z3.py:94(_z3_assert)
7065100,19.212,0.000,427.742,0.000,z3.py:932(__eq__)
2033500,19.150,0.000,318.198,0.000,z3.py:755(__call__)
7065100,18.358,0.000,27.832,0.000,z3core.py:1666(Z3_mk_eq)
6055900,17.897,0.000,347.349,0.000,z3.py:4036(LShR)
7105200,17.637,0.000,33.813,0.000,z3core.py:1531(Z3_mk_string_symbol)
14194100,17.031,0.000,24.602,0.000,z3.py:2960(_to_int_str)
6171200,16.476,0.000,24.718,0.000,z3core.py:1841(Z3_mk_bvadd)
100,16.411,0.164,16.412,0.164,z3core.py:2946(Z3_simplify)
8021000,16.386,0.000,294.567,0.000,z3.py:1392(cast)
7445300,16.110,0.000,26.879,0.000,z3.py:455(_ctx_from_ast_arg_list)
1184200,15.954,0.000,18.029,0.000,z3core.py:1614(Z3_mk_datatypes)
6171200,15.950,0.000,453.832,0.000,z3.py:3280(__add__)
6055900,15.895,0.000,24.092,0.000,z3core.py:1951(Z3_mk_bvlshr)
6650000,15.543,0.000,23.774,0.000,z3core.py:2561(Z3_get_datatype_sort_constructor)
8839600,15.278,0.000,25.441,0.000,z3core.py:2761(Z3_get_ast_kind)
138768200,15.177,0.000,15.177,0.000,z3.py:56(z3_debug)
22774000,14.924,0.000,86.925,0.000,z3.py:668(as_ast)
6650000,14.799,0.000,124.972,0.000,z3.py:4912(constructor)
6494300,14.407,0.000,22.477,0.000,z3core.py:2651(Z3_get_domain)
3552600,14.142,0.000,185.594,0.000,z3.py:4959(accessor)
6770400,13.844,0.000,29.909,0.000,z3core.py:2486(Z3_get_symbol_string)
6494300,12.972,0.000,158.684,0.000,z3.py:697(domain)
9070800,12.612,0.000,116.882,0.000,z3.py:1426(sort)
3552600,12.141,0.000,16.915,0.000,z3core.py:2571(Z3_get_datatype_sort_constructor_accessor)
6494300,11.942,0.000,90.933,0.000,z3.py:608(_to_sort_ref)
21299300,11.686,0.000,21.420,0.000,z3core.py:69(_str_to_bytes)
46927900,11.638,0.000,17.455,0.000,z3.py:412(is_ast)
14448800,11.564,0.000,59.624,0.000,z3.py:688(arity)
6971200,11.421,0.000,19.793,0.000,z3core.py:1541(Z3_mk_bool_sort)
6770400,11.009,0.000,18.954,0.000,z3core.py:2631(Z3_get_decl_name)
5027900,10.531,0.000,16.416,0.000,z3core.py:1556(Z3_mk_bv_sort)
12571000,10.359,0.000,55.157,0.000,z3.py:4899(num_constructors)
6971200,9.778,0.000,87.566,0.000,z3.py:1553(BoolSort)
6770400,9.628,0.000,17.075,0.000,z3core.py:2476(Z3_get_symbol_kind)
7105200,8.594,0.000,47.399,0.000,z3.py:109(to_symbol)
6770400,8.553,0.000,57.213,0.000,z3.py:116(_symbol2py)
21299300,7.866,0.000,7.866,0.000,{method 'encode' of 'str' objects}
2033500,7.587,0.000,10.394,0.000,z3core.py:1627(Z3_mk_app)
6770400,7.500,0.000,86.749,0.000,z3.py:677(name)
5027900,7.183,0.000,66.353,0.000,z3.py:3763(BitVecSort)
4985500,7.176,0.000,65.341,0.000,z3.py:4990(sort)
4067200,7.026,0.000,11.917,0.000,z3core.py:2636(Z3_get_decl_kind)
2777500,6.753,0.000,105.971,0.000,z3.py:543(cast)
4184300,6.436,0.000,11.009,0.000,z3core.py:2521(Z3_get_bv_sort_size)
1913200,6.209,0.000,178.239,0.000,sorts.py:21(sizes)
1184200,6.000,0.000,7.900,0.000,z3core.py:1591(Z3_mk_constructor)
6770700,5.793,0.000,8.214,0.000,z3core.py:83(_to_pystr)
6277000,5.499,0.000,9.837,0.000,z3.py:3904(_check_bv_args)
56588200,5.427,0.000,5.427,0.000,z3types.py:35(from_param)
21522500,5.233,0.000,7.539,0.000,z3.py:64(_is_int)
1184200,5.027,0.000,539.077,0.000,sorts.py:10(FloatSort)
2033600,4.902,0.000,79.918,0.000,z3printer.py:1236(obj_to_string)
1146800,4.791,0.000,694.618,0.001,sorts.py:25(get_sort)
6494300,4.344,0.000,22.698,0.000,z3.py:508(_sort_kind)
1184200,4.206,0.000,5.871,0.000,z3core.py:2566(Z3_get_datatype_sort_recognizer)
4092800,4.041,0.000,6.143,0.000,z3.py:126(_get_args)
1184200,3.853,0.000,469.686,0.000,z3.py:4771(create)
401000,3.833,0.000,14.964,0.000,z3.py:3836(Concat)
3552600,3.758,0.000,6.416,0.000,z3.py:4701(_valid_accessor)
